"1 - UInt32","2 - String"
"2910","There's not enough points remaining on this PP card"
"2911","This PP card has expired. "
"2912","Remain point : %.1f point"
"2913","Remain days : %d days"
"2914","A blocked user! Disconnecting now.."
"2915","The account is currently in use. Would you like to disconnect the previous connection?"
"2950","Service Not Available."
"3001","Could not attack because you're facing the wrong direction or the target is too far. "
"3002","Beginning attack on %s"
"3003","Stop Attack"
"3004","Skill Failed - Not enough MP"
"3007","Earned %d Experience Points"
"3008","Lost %d Experience Points"
"3009","%d HP Damage"
"3010","%d HP Recovered"
"3011","%d MP Recovered"
"3012","%d MP Used"
"3013","%d SP Recovered"
"3014","%d SP Used"
"3015","%s Missed."
"3016","%s received %d damage"
"3017","%s received %d HP  "
"3018","You cannot equip this item.  This item is designed for a different race. "
"3019","You cannot equip this item because you don't have enough Magic Power stat point"
"3020","You cannot equip this item because you don't have enough Dexterity stat point"
"3021","You cannot equip this item because you don't have enough Intelligence stat point"
"3022","You cannot equip this item because your level is too low"
"3023","You cannot equip this item because you don't have enough Strength stat points. "
"3024","You cannot equip this item because of your class. "
"3025","You cannot equip this item because you don't have enough Health stat points. "
"3026","You cannot equip this item because your title is too low. "
"3027","The number of users has surpassed its maximum limit allowed for a specific zone "
"3028","You cannot equip this item.  This item is not designed for your character's specialty."
"3029","You've been killed by %s(ID:%d)"
"3030","You were attacked by %s. "
"3031","You can click on the character and press the 'Private Message' button to start a private chat. "
"3032","Cannot equip because of your high level"
"3033","Connecting to broadcast. Please wait. "
"3034","You cannot equip any other weapon other than a bow"
"3101","El Morad"
"3102","Karus"
"3103","Unconfirmed nation"
"3201","This is the stat that affects the character's power for magic attacks.  "
"3202","This stat increases character's dodging ability and affects the power of arrow attacks for rogues."
"3203","The barbarians are warriors with strong physiques from the north.  They can only become a warrior."
"3204","El Moradian female characters possess strong Magic Power and high Intelligence.  "
"3205","The Magicians can become a Mage which uses 4 basic elements to perform attack magic or they can become an Enchanter, the master of mind control."
"3206","El Moradian males have balanced Strength and Intelligence which makes them fit for any kind of job.  "
"3207","The Priests can become a Cleric to heal friends or become a Druid to cast a curse on the enemy or increase ally's stats. "
"3208","The Rogues can become an Assassin to sneak up to the enemy and inflict a critical damage, or they can become a Ranger that can attack enemies from far away with bows and spears.  "
"3209","The Warriors can become a Blade that uses variety of weapons to inflict critical damage, or they can become a Protector with high defense ability to protect ally's magicians and priests.  "
"3210","This stat affects the amount of Mental Power (MP) for Magicians and Priests. "
"3211","Arch Tuarek is a physically strong race who are fit to become a warrior. "
"3212","The Magicians can become a Sorcerer which uses 4 basic elements to perform attack magic or they can become a Necromancer, the master of the dead. "
"3213","The Priests can become a Shaman that heals its ally or become a Dark Priest that can use cursing skills. "
"3214","퓨리 투아렉은 순수하게 정화된 정신 에너지를 이용해 치료 마법과 저주 마법을 구사하는 카루스의 여성 캐릭터로 법사와 사제의 직업을 선택할 수 있습니다."
"3215","The Rogues can become an Assassin to sneak up to the enemy and inflict a critical damage, or they can become a Hunter that can attack enemies from far away with bows and spears.  "
"3216","Tuareks have balanced Strength and Intelligence which makes them fit for any kind of job."
"3217","The Warriors can become a Berserker that uses variety of weapons to inflict critical damage, or they can become a Guardian with high defense ability to protect ally's magicians and priests.  "
"3218","Wrinkle Tuareks have strong mental powers. Wrinkle Tuareks can only become a Magician.   "
"3219","This stat affects the attack/defense power of a character that uses a weapon."
"3220","This stat affects the amount of character's Health Point (HP). "
"3301","A great blacksmith like me is hard to find.  Tell me if you need anything… "
"3302","I have many items.  Would you like to take a look at them? "
"3401","Are you sure you want to disband the party? "
"3402","Would you like to ban %s form the party? "
"3403","Would you like to quit the party? "
"3404","The party has been disbanded. "
"3405"," has joined the party. "
"3406","The invitation to the party has been declined. "
"3407","You cannot form a party with a user from the other nation. "
"3408","You cannot form a party because of the Level difference."
"3409","The invitation to the party has been declined. "
"3411","Player was invited into the party. Waiting for a response."
"3412"," could not be invited into the party. "
"3413","%s got %s"
"3414","You've quit the party. "
"3415"," has invited you to join the party. Will you join? "
"3416","A clan party cannot invite users from a different clan. "
"3417","You cannot form a party with a user in a different zone. "
"3418","You cannot form a party with a user that's not online. "
"3419","You cannot form a party with this user."
"3420","Not a same clan"
"3421","%s : %s (/seeking_party)"
"3422","ID: %s  Level: %d,  Job: %s has invited you into a party.
Will you accept? "
"3423","Please select a different party. "
"3424","Sent invitation to join the party to %s. "
"3425","Cannot send invitation to join the party to %s. "
"3426","Would you like to post a party wanted message on the board? 
 (command : /party)"
"3427","All jobs"
"3428","You can use the message for free during the event period.
(You'll have to pay when the event is over.)"
"3429","Successfully registered. "
"3430","You cannot form a party in this region. "
"3501","%s has sent a request for a trade to %s. Please wait for a reply."
"3502","%s has received a request for a trade from %s. Will you accept? "
"3503"," is requesting to trade."
"3504","A request for a trade has been received from another user while you were trading.  "
"3601","All race"
"3602","Barbarian"
"3603","Male El Moradian"
"3604","Female El Moradian"
"3605","Arch Tuarek "
"3606","Puri Tuarek "
"3607","Tuarek "
"3608","Wrinkle Tuarek "
"3609","Unconfirmed race"
"3701","Press OK to teleport back to the re-spawn point. "
"3801","You don't have enough money for the repair. "
"3901","Would you like to designate this place as your re-spawn point? "
"4002","Casting failed"
"4003","You cannot user this Skill/Magic. "
"4004","%s failed"
"4005","Skill Failed - Improper item"
"4006","Skill Failed - Not enough HP"
"4007","Skill Failed - Not enough item"
"4008","Skill Failed - Not enough SP"
"4009","Skill Failed - Too far"
"4010","Skill Failed - Blocked by an object"
"4101","You cannot distribute your skill points because you haven't picked your specialty yet."
"4102","There's no remaining skill point. "
"4103","This skill is not available. "
"4201","%s heals you %d HP "
"4202","%s received %d HP "
"4301","Required Item : Double Hand"
"4302","Required Item : Dual Hand"
"4303","Required Item : All Weapons"
"4304","Required Item : Launcher"
"4305","Required Item : Staff"
"4306","Required Item : Arrow"
"4307","Required Item : Javelin"
"4308","Required Item : Warrior Armor"
"4309","Required Item : Rogue Armor"
"4310","Required Item : Magician Armor"
"4311","Required Item : Priest Armor"
"4312","Required Item : Dagger"
"4313","Required Item : Sword"
"4314","Required Item : Ax"
"4315","Required Item : Striking Weapon"
"4316","Required Item : Spear"
"4317","Required Item : Shield"
"4318","Required Item : Bow"
"4319","Required Item : Longbow"
"4320","Doesn't use MP"
"4321","Item Consumed : %s"
"4322","No item consumed"
"4323","MP consumed : %d"
"4324","Required Level : %d"
"4325","Required Skill Point : %d"
"4326","Required Level : %d ~ %d"
"4327","Basic item : %s"
"4328","No basic item"
"4329","Required item : %s"
"4330","No required item"
"4401","The value of a Skill Point cannot be greater than your level. "
"4402","Using %s"
"4502","Attack Speed : Fast"
"4503","Attack Speed : Normal"
"4504","Attack Speed : Slow"
"4505","Attack Speed : Very Fast"
"4506","Attack Speed : Very Slow"
"4507","Effective Range : %.2f"
"4508","Flame Damage : %d"
"4509","Glacier Damage : %d"
"4510","Lightning Damage : %d"
"4511","Poison Damage : %d"
"4512","HP Absorbed : %d"
"4513","MP Damage : %d"
"4514","MP Absorbed : %d"
"4515","Increase Dodging Rate by %d%%"
"4516","Decrease Dodging Rate by %d%%"
"4517","Magic Power Bonus : %d"
"4518","Dexterity Bonus : %d"
"4519","HP Bonus : %d"
"4520","Intelligence Bonus : %d"
"4521","Strength Bonus : %d"
"4522","MP Bonus : %d"
"4523","Purchasing Price : %s"
"4524","Current Durability : %d"
"4525","Attack Power : %d"
"4526","Defense Ability : %d"
"4527","Defense Ability (Arrow) : %d"
"4528","Defense Ability (Ax) : %d"
"4529","Defense Ability (Club) : %d"
"4530","Defense Ability (Dagger) : %d"
"4531","Defense Ability (Spear) : %d"
"4532","Defense Ability (Sword) : %d"
"4533","Coin"
"4534","Increase Attack Power by %d%%"
"4535","Decrease Attack Power by %d%%"
"4536","Max Durability : %d"
"4537","Required Magic Power : %d %s"
"4538","Required Dexterity : %d %s"
"4540","Required Intelligence : %d %s"
"4541","Required Level : %d"
"4542","Required Class : %d"
"4543","Required Health : %d %s"
"4544","Required Strength : %d %s"
"4545","Required Title : %s"
"4546","Resistance to Curse : %d"
"4547","Resistance to Lightning : %d"
"4548","Resistance to Flame : %d"
"4549","Resistance to Glacier : %d"
"4550","Resistance to Magic : %d"
"4551","Resistance to Poison : %d"
"4552","Selling Price : %s"
"4553","Weight : %.2f"
"4554","(Reduce)"
"4555","Repel Physical Attack : %d"
"4556","[%s] Remaining Time : %d minutes"
"4557","%s is inflicted with %d HP damage.  "
"4558","Required Level : %d ~ %d"
"4559","Required Title : %s"
"4560","Item Grade : %d Grade"
"4561","Unique"
"4562","Item Grade : low Class"
"4563","Item Grade : middle Class"
"4564","Item Grade : high Class"
"4565","일"
"4566","이"
"4567","삼"
"4568","사"
"4569","오"
"4570","육"
"4571","칠"
"4572","팔"
"4573","구"
"4574","십"
"4575","백"
"4576","천"
"4577","만"
"4578","억"
"4579","노아"
"4580","거래, 판매, 보관 불가"
"4581","거래, 판매 불가"
"4601","Speed Hacking has been tried. "
"4701","http://www.knightonlineworld.com"
"4801","This client is version %.3f. You'll need to have version %.3f in order to log in to the server. "
"4802","Health Bonus : %d"
"4803","This is an outdated version. Please install the newest client. "
"5001","Recover rapidly by sitting down - 'C'"
"5002","You can move using your mouse in the 'quarter-view' mode. "
"5003","Toggle Auto Walk/Run - 'E'"
"5004","When you want to teleport back to town - Type'/town'"
"5005","To find the nearest enemy/monster - Press the 'Z' key"
"5006","Using Skill : Drag the skill icon to the shortcut key window. "
"5007","Designate re-spawn spot : Right-click on the Resurrection Stone. "
"5008","Visit the blacksmith to increase the durability of an item. "
"5009","Item Storage : Right-click on the Inn-Keeper. "
"5010","Selecting Specialty : You can select your specialty when you reach level 10. "
"5011","Pick up item : Click on the dead monster."
"5012","Walk/Run : Press the 'Y' key"
"5013","Toggle Attack : Press the 'R' key or double click on the target. "
"5014","Toggle View : shortcut key 'F9'"
"5015","You can move your character by pressing 'W,A,S,D's keys or the arrow keys. "
"5016","Using Skill : Press the skill icon placed on the shortcut key window or press '1~8'"
"5017","You can level up faster if you form a party. "
"5018","Display request for party : Type'/Seeking_party'"
"5019","Invite into a party : Type '/party'"
"5020","Trade Item : Select a character and type '/trade'"
"5021","Party Chat : Click on the 'Party Chat' button on the chat window"
"5022","General Chat : Click on the 'General Chat' button on the chat window"
"5023","Gaining Stat Points : Gain 3 stat points every time you level up. "
"5024","Gaining Skill Points : You can gain 2 skill points every time you level up once you've reached level 10. "
"5025","Destroy Item : Drag and drop the item you wish to destroy on to the red mark on the inventory window. "
"5026","View Description of the Skill : Put your cursor over the skill icon."
"5027","Private Message : Type '/pm' ID"
"5028","View Mini-map : Press 'N'.  The red and orange dots are enemies. "
"5029","Flip through shortcut key window : 'PageUp/PageDown'"
"5030","Use the 'Home / End' keys to change views in the quarter-view mode. "
"5031","Take 5 Silk Bundles to the Proconsul standing near the accessory vendor and he'll give you a weapon.  "
"5032","Lock on the closest NPC - 'B'"
"5033","View Overall Map : 'M'"
"5034","[Knight Online Tip of the Day!]"
"6033","Please enter the amount. "
"6034","Please enter the quantity. "
"6035","Basic skills that you get before you choose a specialty."
"6036","Learn various attack skills. "
"6037","Learn various defense skills. "
"6038","Increases Warrior's mental power.   "
"6039","Learn the Master Skills of various weapons. "
"6044","Learn various archery skills."
"6045","Learn the various techniques of assassination. "
"6046","Learn the various techniques of exploring. "
"6047","Learn the Master Skills of Archery and Assassination."
"6052","Learn various magic that uses flame. "
"6053","Learn various magic that uses Glacier. "
"6054","Learn various magic that uses lightning(Lightning). "
"6055","Learn the Master Skills of elemental magic."
"6060","Learn various healing magic. "
"6061","Learn magic that increase character's stat points. "
"6062","Learn simple attack magic. "
"6063","Learn the Master Skill of a Priest. "
"6066","cannot select the character. "
"6067","Picked up %d Coins."
"6068","The durability on %s is all gone. "
"6069","Picked up %s"
"6070","%s refused the request for a trade. "
"6071","Failed trading. "
"6072","Trading with %s has been canceled. "
"6073","Bronze"
"6074","Silver"
"6075","Gold"
"6076","Platinum"
"6077","Crimson"
"6078","Luna"
"6079","Sola"
"6080","Ancient"
"6081","Mystic"
"6082","Coin : %d"
"6084","Repair Cost"
"6085","irreparable item"
"6086","You need %d Coins"
"6087","There are no points to reset. "
"6088","Earned %d Coins."
"6089","Lost %d Coins. "
"6090","1차 전직을 하셔야 사용하실수 있습니다."
"6091","Received %d coins. "
"6092","Received %s. "
"6093","Received %d times of the coins. "
"6099","Used %d Coins."
"6100","Earned %d national points. "
"6101","Earned %d manner points. "
"6102","Congratulations on reaching level 30 on Beginner Helper event. "
"6103","Received %d leader points. "
"6104","%d 국가기여도를 잃었습니다."
"6105","%d 레더포인트를 잃었습니다."
"6112","You cannot change your stat while there are items equipped on you."
"6116","You are too far away from the NPC. "
"6120","Invalid password. "
"6123","Seeking Party : Level %d ~ %d"
"6124","

Karus Character Window."
"6125","

El Morad Character Window. "
"6300","Posting request for a party on the Party Request Board. "
"6301","Delete the request for a party from the Party Request Board. "
"6302","You need %d Coins to register the selling item. "
"6303","You'll have to pay the Inn Keeper %d Coins in order to trade with somebody that is far away. "
"6304","Registering items you want to buy will cost %d coins per hour."
"6305","Failed registering. "
"6306","You don't have enough Coins. "
"6307","Failed canceling the registration."
"6308","Failed. Please press the refresh button."
"6309","Failed requesting for a trade. "
"6310","Could not access the trade board."
"6311","The user has declined the request for a trade. "
"6500","Sorry.  A weakling like you are not fit to become a leader!!"
"6501","Sorry.  You need %d Coins in order to create a clan. "
"6502","You cannot create a clan today. "
"6503","You can't create a clan because you're already in another clan. "
"6504","Hm.. You can't create a can right now.  Please come back later. "
"6505","You are now a leader of a clan.  Congratulations!!!"
"6506","You need %d Coins to create a clan. "
"6507","Oh~ho~.. Welcome my brave friend.. Tell me, what would you like to name your clan? "
"6508","Oh~ I'm sorry, but somebody else is already using that name. Try a different name. "
"6509","Successfully quitted the clan. "
"6510","Failed quitting the clan. "
"6511","Successfully joined the clan. "
"6512","Failed because the clan has reached the maximum number of people allowed."
"6513","This clan is not valid. "
"6514","You do not have the authority. "
"6515","This user is already in a clan. "
"6516","This user is from a different nation. "
"6517","This user is dead. "
"6518","This user does not exist. "
"6519","You cannot choose yourself. "
"6520","This user is not in the clan. "
"6521","Will you join the clan %s ? "
"6522","The user has declined. "
"6523","It is not allowed in this zone. "
"6524","Exiting game and configuring options. Will you continue? "
"6525","Saved character information. "
"6526","You can save every %d minutes. "
"6527","Creating a clan is only allowed in the 1st server group. "
"6528","Creating a clan is only allowed in the Breth Village. "
"6529","Creating a clan is only allowed in the Piana Village. "
"6600","Return to town. "
"6601","Re-spawn. "
"6602","You don't have enough Stone of Life."
"6603","You need to offer %d Stone of Life on to the shrine if you want to be revived. "
"6604","You cannot be re-spawned because your level is too low. "
"6605","Weight : "
"6606","You've arrived at %s."
"6607","chat enable"
"6608","chat unable"
"6609","Connecting.  Please wait. "
"6610","You need to be at least level %d."
"6611","You cannot enter during the Lunar War. "
"6612","You cannot enter during the Castle Siege War. "
"6613","You cannot enter when you have 0 national points. "
"6700","Item upgrade succeeded. "
"6701","Item upgrade failed. "
"6702","Cannot perform item upgrade.  "
"6703","You don't have enough Coins. "
"6704","The items required for upgrade does not match. "
"6705","The item might be destroyed while performing the upgrade.  Will you continue? "
"6710","Among the 7 pieces, please place one. "
"6711","Press Start. "
"6712","Press Stop. "
"6713","It must be your lucky day. "
"6714","Don't be too disappointed. You're luck isn't that bad. "
"6715","There will be better days. "
"6716","점술이 시전 되지 않았습니다."
"6800","Clan Leader"
"6801","Head of a Knights"
"6802","Castle Lord"
"6803","Feudal Lord"
"6804","King"
"6805","Emperor"
"6806","Party Leader"
"6807","Solo Player"
"6808","(Magic Item)"
"6809","(Rare Item)"
"6810","(Craft Item)"
"6811","(Unique Item)"
"6812","(Upgrade Item)"
"6813","Clan Co-Leader"
"6814","(Event Item)"
"6900","Clan Leader %s has challenged your clan for a clan battle. Will you accept?  "
"6901","This user is offline. "
"6902","This user is dead. "
"6903","This user is from a different nation. "
"6904","You're not the Leader of a Knights. "
"6905","The leader of the challenged clan has declined the request for a clan battle. "
"6906","Not a clan member."
"6907","You cannot start a clan battle in this zone. "
"6908","Clan War in progress."
"6909","Clan War not in progress. "
"6910","The clan %s has surrendered."
"6911","Surrendered to the clan %s. "
"6912","The clan battle has begun. "
"6913","##Defeated the clan %s in the previous clan battle.##"
"6914","##Defeated by the clan %s in the previous clan battle.##"
"6915","Clan Battle Record : %d Wins %d Losses"
"6950","Too many users are logged in. "
"6951","The server is closed. "
"6952","[Fine]"
"6953","[Normal]"
"6954","[Busy]"
"6955","[Blocked]"
"7001","Clan Battle"
"7002","Single Battle"
"7003","Party Battle"
"7004","Match in Progress"
"7005","Waiting"
"7020","You do not have the authorization to create an arena. "
"7021","You cannot create an arena in this region. "
"7022","All the arenas are full. "
"7023","Cannot find the selected arena. "
"7024","You cannot create an arena. "
"7040","You are not allowed to join the arena. "
"7041","You cannot enter the arena from this zone."
"7042","You are already in a waiting room. "
"7043","Cannot find the arena. "
"7044","Invalid password. "
"7045","Failed."
"7046","Teleporting to the stands in the arena. You cannot attack or perform magic in the stands. "
"7047","This is a private room.  Please enter a password. "
"7048","You don't have the minimum money required for a match. "
"7049","Match has not started yet. "
"7050","Exceeded the allowed number of users."
"7051","You cannot enter at the current moment. "
"7100","The match has started"
"7101","You've won the match. "
"7102","You've lost the match."
"7103","You don't have the authorization. "
"7104","You don't have enough Coins. "
"7105","You cannot change the configuration. "
"7106","The opposing team did not press the 'Ready' button yet. "
"7107","One or more of the team does not have enough money. "
"7200","Opera"
"7201","Colisseum"
"7202","Stone Pillar"
"7300","Killing clan leader. "
"7301","Survival"
"7350","카루스와 엘모라드의
아도니스 사상 유래가 없는 격전이었던 그날
난 내 모든 것을 잃어버렸다.

나를 사랑하는 사람들과 내가 사랑했던 사람들 모두
지금의 나에게 남은 건
언제나 귓속에 울려퍼지는 그들의 비명과 절규뿐

난 이 세상의 슬픔을 뿌리뽑기 위해
길을 떠난다

기사가 되기 위한 험난하고 힘든 여정의 길을..."
"7351","게임 옵션"
"7352","그래픽 옵션"
"7353","사운드 옵션"
"7400","Finished"
"7401","In progress"
"7402","Remaining Time : %d"
"7403","If you scroll %d times in a row, you will be banned from chatting for %d seconds. "
"7410","Coin Reward : "
"7411","Exp Reward : "
"7412","Next Page"
"7413","Previous Page"
"7414","Complete"
"7415","Accept"
"7416","Processing"
"7417","Give up"
"7418","Close"
"7419","Collected all items!"
"7420","<< %s >>"
"7421","Required Coin : "
"7422","[진행중]"
"7423","[보상전]"
"7424","[완료]"
"7425","진행중인 목록들입니다!!"
"7426","게임 도움말입니다!!"
"7427","준비중입니다!!"
"7428","지난 레벨에 내용이나 앞으로+5레벨까지의 내용을 보시려면 입력창에 레벨을 입력하고 레벨검색을 클릭해주세요"
"7429","준비중입니다!!"
"7430","도와줘용 지식인~~~!!"
"7431","검색된 리스트가 존재하지 않습니다."
"7432","무게가 초과되어 보상을 받을 수 없습니다."
"7433","노아가 초과되어 보상을 받을 수 없습니다."
"7434","가방이 꽉차서 보상을 받을 수 없습니다."
"7435","보상받으실 아이템을 먼저 선택해 주십시요."
"7436","인벤토리에 아이템이 가득차게 되면 퀘스트 아이템을 받을 수 없게 됩니다.
인벤토리에 빈공간을 남겨주세요."
"7437","시드도움말거절"
"7438","미셀도움말거절"
"7440","Total Kill Point : "
"7441","Frame %.1f / Ver %.3f"
"7442","몬스터 사냥이 완료되었습니다!"
"7443","토벌대 멤버 모집중"
"7444","토벌대 인원"
"7445","명"
"7446","초"
"7447","개"
"7448","토벌대"
"7449","미션 종료 시간...."
"7500","Login error or you account is already signed on. "
"7501","Your PP card has expired.  Please recharge your card. "
"7502","You do not have enough game time left on your PP Card. Please recharge your card. "
"7510","(필요없음)"
"7511","(필요없음)"
"7512","(필요없음)"
"7513","(필요없음)"
"7600","Block all Trade Requests. "
"7601","Block all Party Requests."
"7602","Allow all Trade Requests. "
"7603","Allow all Party Requests. "
"7604","Has blocked trade requests."
"7605","Has blocked party requests. "
"7606","Skill Failed - You do not have the Stone of Warrior. "
"7607","Skill Failed - You do not have the Stone of Rogue. "
"7608","Skill Failed - You do not have the Stone of Magician. "
"7609","Skill Failed - You do not have the stone of Priest. "
"7610","Successfully registered the symbol. "
"7611","Failed to register the symbol. Please try again. "
"7612","To teleport to %s, you need %d coins"
"7613","You've received the %s item. "
"7614","Failed repairing the item. "
"7615","You cannot repair this item. "
"7616","You did not select a buddy from your Buddy List. "
"7617","Will you register your Knights symbol? "
"7618","You have 0 National Point. You can recharge your national point by visiting the Knight Clerk in the main village. "
"7619","Please enter the new ID you wish to use. You can use Scroll of Identity to change you ID only once. Once you select your new ID your old ID will not be recoverable. Please select your new ID carefully. "
"7620","The ID you've entered is already being used by another character. Please select a different ID. "
"7621","Congratulation. Your ID has been changed. "
"7622","Will you change your ID? "
"7623","Cannot use Continuance Item for this skill. "
"7624","Continuance Item has been used on the %s skill. "
"7625","This skill is already using the Continuance Item. "
"7626","Skill Failed - You need to have the Transformation Gem.  "
"7627","You can only transform during a Castle Siege War. "
"7628","You can only transform after the Castle Siege War starts."
"7629","You need to be within 30M of your base in order to transform."
"7630","Premium Service : %d day(s) remaining. "
"7631","Today is the last day of %s premium service. "
"7632","Exiting game in %d seconds. "
"7633","Exiting game canceled."
"7634","You cannot exit from the client during a battle. "
"7635","Blocked Private messages. "
"7636","This user has blocked private messages. "
"7637","Blocked Shouting messages"
"7638","Blocked Party messages."
"7639","Blocked Clan messages."
"7640","Blocked Confederacy messages."
"7641","Blocked Normal messages."
"7642","This is a safe zone."
"7643","This is a Karus safe zone.."
"7644","This is an El Morad safe zone."
"7645","You cannot retrieve monsters from this zone. "
"7646","This is the zone for transforming into castle siege war weapons."
"7647","You cannot retrieve monsters from this zone. "
"7648","You cannot retrieve monsters from this area."
"7649","Blocked Knights messages."
"7650","You cannot use your bow while transforming. "
"7651","This ID is too long. Please enter a different ID. "
"7652","Re-spawning with %s. "
"7653","Returning to Town or a designated re-spawn point. "
"7654","There are characters that cannot be used in the ID you entered. You can only use alphabet and numbers."
"7655","Will you trade? "
