"1 - UInt32","2 - Int32","3 - Int32","4 - Int32","5 - Int32","6 - Int32","7 - Int32"
"111007","0","1","-77","0","0","4"
"111008","0","1","0","50","20","0"
"111500","0","1","60","0","0","0"
"111503","0","1","0","100","30","0"
"111509","0","1","120","0","0","0"
"111512","0","1","0","200","30","0"
"111518","0","1","240","0","0","0"
"111521","0","1","0","400","30","0"
"111527","0","1","480","0","0","0"
"111530","0","1","0","800","30","0"
"111536","0","1","960","0","0","0"
"111539","0","1","0","1500","30","0"
"111545","0","1","1920","0","0","0"
"111548","0","1","0","2500","30","0"
"111554","0","1","10000","0","0","0"
"111557","30","1","960","0","0","0"
"111560","30","1","10000","0","0","0"
"111709","0","2","-480","0","0","0"
"111736","0","2","-960","0","0","0"
"112001","0","1","15","0","0","0"
"112002","0","1","-29","0","0","4"
"112005","0","1","30","0","0","0"
"112007","0","1","-77","0","0","4"
"112008","0","1","0","50","20","0"
"112500","0","1","60","0","0","0"
"112503","0","1","0","100","30","0"
"112509","0","1","120","0","0","0"
"112512","0","1","0","200","30","0"
"112518","0","1","240","0","0","0"
"112521","0","1","0","400","30","0"
"112527","0","1","480","0","0","0"
"112530","0","1","0","800","30","0"
"112536","0","1","960","0","0","0"
"112539","0","1","0","1500","30","0"
"112545","0","1","1920","0","0","0"
"112548","0","1","0","2500","30","0"
"112554","0","1","10000","0","0","0"
"112557","30","1","960","0","0","0"
"112560","30","1","10000","0","0","0"
"112570","20","1","0","3000","20","0"
"112709","0","2","-480","0","0","0"
"112736","0","2","-960","0","0","0"
"120011","15","11","-3500","0","0","0"
"203001","0","1","-24","0","0","1"
"203003","0","1","0","-60","20","2"
"203005","0","1","-62","0","0","1"
"203007","0","1","-68","0","0","2"
"203009","0","1","-88","0","0","3"
"204001","0","1","15","0","0","0"
"204002","0","1","-29","0","0","4"
"204005","0","1","30","0","0","0"
"204007","0","1","-77","0","0","4"
"204008","0","1","0","50","20","0"
"205660","0","1","10000","0","0","0"
"205710","0","2","200","0","0","0"
"205725","0","1","-150","0","0","4"
"205730","0","1","0","750","60","0"
"205731","0","2","400","0","0","0"
"205740","0","1","250","0","0","0"
"205750","0","1","0","1500","60","0"
"205760","10","1","-500","0","0","4"
"206660","0","1","10000","0","0","0"
"206710","0","2","200","0","0","0"
"206725","0","1","-150","0","0","4"
"206730","0","1","0","750","60","0"
"206731","0","2","400","0","0","0"
"206740","0","1","250","0","0","0"
"206750","0","1","0","1500","60","0"
"206760","10","1","-500","0","0","4"
"207505","0","1","-156","0","0","1"
"207510","0","1","0","-232","20","6"
"207530","0","1","-309","0","0","1"
"207535","0","1","0","-463","20","6"
"207545","0","1","-463","0","0","1"
"207550","0","1","0","-691","20","6"
"207610","0","9","5","0","0","0"
"207650","0","9","10","0","0","0"
"207660","0","1","-1200","0","0","0"
"207705","0","1","60","0","0","0"
"208505","0","1","-156","0","0","1"
"208510","0","1","0","-232","20","6"
"208530","0","1","-309","0","0","1"
"208535","0","1","0","-463","20","6"
"208545","0","1","-463","0","0","1"
"208550","0","1","0","-691","20","6"
"208610","0","9","5","0","0","0"
"208650","0","9","10","0","0","0"
"208660","0","1","-1200","0","0","0"
"208705","0","1","60","0","0","0"
"209001","0","1","-24","0","0","1"
"209003","0","1","0","-60","20","2"
"209005","0","1","-62","0","0","1"
"209007","0","1","-68","0","0","2"
"209009","0","1","-88","0","0","3"
"209503","0","1","-168","0","0","1"
"209509","0","1","0","-280","20","1"
"209515","0","1","-308","0","0","1"
"209518","0","1","-238","-336","20","1"
"209527","0","1","-588","0","0","1"
"209533","8","1","-588","0","0","1"
"209535","0","1","-840","0","0","1"
"209539","0","1","-480","-1120","20","1"
"209542","0","1","-336","0","0","1"
"209543","0","1","-615","0","0","1"
"209545","15","1","-504","0","0","1"
"209551","0","1","-1260","0","0","1"
"209554","0","8","-1550","0","0","1"
"209556","0","1","-1015","0","0","1"
"209557","0","1","-1260","-1000","10","1"
"209560","15","1","-1800","-600","20","1"
"209603","0","1","-118","0","0","2"
"209609","0","1","0","-196","20","2"
"209615","0","1","-216","0","0","2"
"209618","0","1","-167","-236","20","2"
"209627","0","1","-412","0","0","2"
"209633","8","1","-412","0","0","2"
"209635","0","1","-588","0","0","2"
"209639","0","1","-336","-784","20","2"
"209642","0","1","-236","0","0","2"
"209643","0","1","-431","0","0","2"
"209645","15","1","-353","0","0","2"
"209651","0","1","-882","0","0","2"
"209656","0","1","-711","0","0","2"
"209657","0","1","-882","-700","10","2"
"209660","15","1","-1260","-420","20","2"
"209703","0","1","-118","0","0","3"
"209709","0","1","0","-196","20","3"
"209715","0","1","-216","0","0","3"
"209718","0","1","-167","-236","20","3"
"209727","0","1","-412","0","0","3"
"209733","8","1","-412","0","0","3"
"209735","0","1","-588","0","0","3"
"209739","0","1","-336","-784","20","3"
"209742","0","1","-236","0","0","3"
"209743","0","1","-431","0","0","3"
"209745","15","1","-353","0","0","3"
"209751","0","1","-882","0","0","3"
"209754","0","8","-1100","0","0","3"
"209756","0","1","-711","0","0","3"
"209757","0","1","-882","-700","10","3"
"209760","15","1","-1260","-420","20","3"
"210001","0","1","-24","0","0","1"
"210003","0","1","0","-60","20","2"
"210005","0","1","-62","0","0","1"
"210007","0","1","-68","0","0","2"
"210009","0","1","-88","0","0","3"
"210503","0","1","-168","0","0","1"
"210509","0","1","0","-280","20","1"
"210515","0","1","-308","0","0","1"
"210518","0","1","-238","-336","20","1"
"210527","0","1","-588","0","0","1"
"210533","8","1","-588","0","0","1"
"210535","0","1","-840","0","0","1"
"210539","0","1","-480","-1120","20","1"
"210542","0","1","-336","0","0","1"
"210543","0","1","-615","0","0","1"
"210545","15","1","-504","0","0","1"
"210551","0","1","-1260","0","0","1"
"210554","0","8","-1550","0","0","1"
"210556","0","1","-1015","0","0","1"
"210557","0","1","-1260","-1000","10","1"
"210560","15","1","-1800","-600","20","1"
"210570","0","1","-2500","0","0","1"
"210571","15","1","-2100","-600","20","1"
"210603","0","1","-118","0","0","2"
"210609","0","1","0","-196","20","2"
"210615","0","1","-216","0","0","2"
"210618","0","1","-167","-236","20","2"
"210627","0","1","-412","0","0","2"
"210633","8","1","-412","0","0","2"
"210635","0","1","-588","0","0","2"
"210639","0","1","-336","-784","20","2"
"210642","0","1","-236","0","0","2"
"210643","0","1","-431","0","0","2"
"210645","15","1","-353","0","0","2"
"210651","0","1","-882","0","0","2"
"210656","0","1","-711","0","0","2"
"210657","0","1","-882","-700","10","2"
"210660","15","1","-1260","-420","0","2"
"210670","0","1","-1750","0","0","2"
"210671","15","1","-1470","0","0","2"
"210703","0","1","-118","0","0","3"
"210709","0","1","0","-196","20","3"
"210715","0","1","-216","0","0","3"
"210718","0","1","-167","-236","20","3"
"210727","0","1","-412","0","0","3"
"210733","8","1","-412","0","0","3"
"210735","0","1","-588","0","0","3"
"210739","0","1","-336","-784","20","3"
"210742","0","1","-236","0","0","3"
"210743","0","1","-431","0","0","3"
"210745","15","1","-353","0","0","3"
"210751","0","1","-882","0","0","3"
"210754","0","8","-1100","0","0","3"
"210756","0","1","-711","0","0","3"
"210757","0","1","-882","-700","10","3"
"210760","15","1","-1260","-420","0","3"
"210770","0","1","-1750","0","0","3"
"210771","15","1","-1470","-420","0","3"
"211001","0","1","15","0","0","0"
"211002","0","1","-29","0","0","4"
"211005","0","1","30","0","0","0"
"211007","0","1","-77","0","0","4"
"211008","0","1","0","50","20","0"
"211500","0","1","60","0","0","0"
"211503","0","1","0","100","30","0"
"211509","0","1","120","0","0","0"
"211512","0","1","0","200","30","0"
"211518","0","1","240","0","0","0"
"211521","0","1","0","400","30","0"
"211527","0","1","480","0","0","0"
"211530","0","1","0","800","30","0"
"211536","0","1","960","0","0","0"
"211539","0","1","0","1500","30","0"
"211545","0","1","1920","0","0","0"
"211548","0","1","0","2500","30","0"
"211554","0","1","10000","0","0","0"
"211557","30","1","960","0","0","0"
"211560","30","1","10000","0","0","0"
"211709","0","2","-480","0","0","0"
"211736","0","2","-960","0","0","0"
"212001","0","1","15","0","0","0"
"212002","0","1","-29","0","0","4"
"212005","0","1","30","0","0","0"
"212007","0","1","-77","0","0","4"
"212008","0","1","0","50","20","0"
"212500","0","1","60","0","0","0"
"212503","0","1","0","100","30","0"
"212509","0","1","120","0","0","0"
"212512","0","1","0","200","30","0"
"212518","0","1","240","0","0","0"
"212521","0","1","0","400","30","0"
"212527","0","1","480","0","0","0"
"212530","0","1","0","800","30","0"
"212536","0","1","960","0","0","0"
"212539","0","1","0","1500","30","0"
"212545","0","1","1920","0","0","0"
"212548","0","1","0","2500","30","0"
"212554","0","1","10000","0","0","0"
"212557","30","1","960","0","0","0"
"212560","30","1","10000","0","0","0"
"212570","20","1","0","3000","20","0"
"212709","0","2","-480","0","0","0"
"212736","0","2","-960","0","0","0"
"220011","15","11","-3500","0","0","0"
"300101","0","0","0","-120","20","6"
"300102","0","1","-120","0","0","1"
"300103","0","1","-270","0","0","5"
"300104","0","1","-1440","0","0","1"
"300105","30","1","-1500","0","0","1"
"300106","30","1","2400","0","0","1"
"300107","0","1","-300","0","0","5"
"300108","0","1","-350","0","0","5"
"300109","0","1","-400","0","0","5"
"300110","0","1","-500","0","0","5"
"300111","0","1","-1000","0","0","5"
"300112","0","1","-1200","0","0","5"
"300113","0","1","-1500","0","0","5"
"300114","0","1","-240","0","0","6"
"300115","0","1","-360","0","0","1"
"300116","0","1","1152","0","0","0"
"300117","0","1","-360","0","0","3"
"300118","0","1","-400","0","0","1"
"300119","0","1","-600","0","0","1"
"300120","0","1","-800","0","0","1"
"300121","0","1","-1000","0","0","1"
"300122","0","1","-1200","0","0","1"
"300123","0","1","-1000","0","0","3"
"300124","0","1","-1400","0","0","3"
"300125","0","1","-1800","0","0","3"
"300126","0","1","-2200","0","0","3"
"300127","0","1","-3000","0","0","3"
"300128","15","2","-100","-1200","30","5"
"300129","15","2","-200","-1600","30","5"
"300130","15","2","-300","-2000","30","5"
"300131","15","2","-500","-2400","30","5"
"300132","20","2","-5000","-3000","30","5"
"300134","0","0","0","-5000","200","6"
"300135","0","0","0","-10000","200","6"
"300136","0","0","0","-15000","200","6"
"300137","0","0","0","-20000","200","6"
"300138","20","1","-4000","-25000","200","6"
"300139","20","1","-3500","0","0","1"
"300140","10","1","120","0","0","0"
"300141","0","1","0","-1000","10","6"
"300142","0","1","0","-2000","10","6"
"300143","0","1","0","-3000","10","6"
"300144","0","1","0","-4000","10","6"
"300145","0","1","0","-8000","10","6"
"300146","0","1","-2000","0","0","0"
"300147","0","1","-3000","0","0","0"
"300148","0","1","-4000","0","0","0"
"300149","0","1","-5000","0","0","0"
"300150","0","1","-8000","0","0","0"
"300151","0","1","-1500","0","0","1"
"300152","0","1","-2000","0","0","1"
"300153","0","1","-3000","0","0","1"
"300154","0","1","-1500","0","0","2"
"300155","0","1","-2000","0","0","2"
"300156","0","1","-3000","0","0","2"
"300157","0","1","-1500","0","0","3"
"300158","0","1","-2000","0","0","3"
"300159","0","1","-3000","0","0","3"
"300160","0","1","-1500","0","0","6"
"300161","0","1","-2000","0","0","6"
"300162","0","1","-3000","0","0","6"
"300163","0","1","1000","0","0","0"
"300164","0","1","2000","0","0","0"
"300165","0","1","4000","0","0","0"
"300166","0","1","-1000","0","0","0"
"300167","0","1","-2000","0","0","0"
"300168","0","1","-4000","0","0","0"
"300169","0","1","-1000","-4000","10","6"
"300170","0","1","-2000","-6000","10","6"
"300171","0","1","-3000","-8000","10","6"
"300172","0","1","-4000","-10000","10","6"
"300173","0","1","-5000","-12000","10","6"
"300174","20","2","-2000","0","0","0"
"300175","20","2","-3000","0","0","0"
"300176","20","2","-4000","0","0","0"
"300177","20","2","-5000","0","0","0"
"300178","20","2","-8000","0","0","0"
"300179","20","1","2000","0","0","0"
"300180","20","1","4000","0","0","0"
"300181","20","1","6000","0","0","0"
"300182","20","1","8000","0","0","0"
"300183","20","1","10000","0","0","0"
"300184","0","1","-2000","0","0","4"
"300185","0","1","-3000","0","0","4"
"300186","0","1","-4000","0","0","4"
"300187","0","1","-5000","0","0","4"
"300188","0","1","-8000","0","0","4"
"300189","20","2","-2000","0","0","0"
"300190","20","2","-3000","0","0","0"
"300191","20","2","-4000","0","0","0"
"300192","20","2","-5000","0","0","0"
"300193","20","2","-8000","0","0","0"
"300194","0","1","-2000","0","0","3"
"300195","0","1","-3000","0","0","3"
"300196","0","1","-4000","0","0","3"
"300197","0","1","-5000","0","0","3"
"300198","0","1","-8000","0","0","3"
"300201","20","1","0","-200","10","6"
"300202","20","1","0","-400","10","6"
"300203","20","1","0","-1300","10","6"
"300207","20","1","1000","0","0","0"
"300208","20","1","1500","0","0","0"
"300231","20","1","-1500","0","0","1"
"300232","20","1","-2000","0","0","1"
"300233","20","1","-3000","0","0","1"
"300234","20","1","-2000","0","0","3"
"300235","20","1","-3000","0","0","3"
"300236","20","1","-4000","0","0","3"
"300251","20","1","-500","0","0","1"
"300252","20","1","-700","0","0","1"
"300253","20","1","-1000","0","0","1"
"300261","20","1","-2000","0","0","1"
"300264","20","1","-8000","0","0","1"
"300269","30","1","-20000","0","0","1"
"300271","20","1","-375","0","0","0"
"300272","20","1","-540","0","0","1"
"300281","20","2","-3000","0","0","0"
"300291","0","1","-175","-320","20","6"
"300309","30","1","-15000","0","0","4"
"300310","30","1","-11000","0","0","4"
"300321","0","1","-400","0","0","4"
"300322","0","1","-500","0","0","4"
"300331","0","9","20","0","0","0"
"300341","0","1","-1200","0","0","0"
"300351","0","1","-1150","0","0","0"
"300361","0","8","-1275","0","0","0"
"300371","10","1","-1555","0","0","1"
"300381","15","1","0","-2600","20","0"
"300391","0","3","10","0","0","0"
"300401","25","1","0","-3600","20","0"
"300411","25","1","0","-6500","20","0"
"300421","0","1","-7055","0","0","0"
"300422","0","4","-250","0","0","0"
"300431","30","1","-31115","0","0","3"
"460006","0","1","0","50","60","0"
"490001","0","1","200","0","0","0"
"490002","0","1","400","0","0","0"
"490003","0","1","800","0","0","0"
"490004","0","2","200","0","0","0"
"490005","0","2","400","0","0","0"
"490006","0","2","800","0","0","0"
"490010","0","1","45","0","0","0"
"490011","0","1","90","0","0","0"
"490012","0","1","180","0","0","0"
"490013","0","1","360","0","0","0"
"490014","0","1","720","0","0","0"
"490015","0","1","1440","0","0","0"
"490016","0","2","120","0","0","0"
"490017","0","2","240","0","0","0"
"490018","0","2","480","0","0","0"
"490019","0","2","960","0","0","0"
"490020","0","2","1920","0","0","0"
"490021","0","1","-500","0","0","1"
"490022","0","1","-300","0","0","1"
"490024","25","1","-30000","0","0","1"
"490028","0","1","-900","0","0","1"
"490030","0","1","10000","0","0","0"
"490032","20","1","-800","0","0","1"
"490033","0","2","-3000","0","0","0"
"490043","0","1","-10","0","0","0"
"490044","15","1","-5000","0","0","1"
"490057","0","1","-250","-1800","60","6"
"490058","0","1","-480","0","0","0"
"490059","0","1","0","6000","180","0"
"490060","0","1","90","0","0","0"
"490061","0","1","180","0","0","0"
"490062","0","1","360","0","0","0"
"490063","0","1","720","0","0","0"
"490064","0","1","1440","0","0","0"
"490077","0","1","-10","0","0","0"
"490078","0","2","120","0","0","0"
"490079","0","2","240","0","0","0"
"490080","0","2","480","0","0","0"
"490081","0","2","960","0","0","0"
"490082","0","2","1920","0","0","0"
"490083","0","4","-2000","0","0","0"
"490094","0","1","500","0","0","0"
"490095","0","1","400","0","0","0"
"490099","0","11","-1500","0","0","0"
"490101","5","3","50","0","0","0"
"490102","10","3","20","0","0","0"
"490103","5","3","80","0","0","0"
"490104","5","4","-1000","0","0","0"
"490105","10","4","-2000","0","0","0"
"490106","5","4","-4000","0","0","0"
"490107","5","5","50","0","0","0"
"490108","10","5","20","0","0","0"
"490109","5","5","80","0","0","0"
"490110","10","1","-1800","0","0","1"
"490111","5","5","0","0","0","0"
"490131","30","1","2000","0","0","0"
"490132","30","1","0","4500","30","0"
"490202","0","4","2000","0","0","0"
"490204","0","5","120","0","0","0"
"490205","0","5","135","0","0","0"
"490206","0","5","150","0","0","0"
"490207","0","1","3600","3000","60","0"
"490210","0","1","0","750","30","0"
"490214","0","5","10","0","0","0"
"490402","0","12","50","0","0","0"
"500001","0","1","90","0","0","0"
"500002","0","1","180","0","0","0"
"500003","0","1","360","0","0","0"
"500004","0","1","720","0","0","0"
"500005","0","1","1440","0","0","0"
"500006","0","2","120","0","0","0"
"500007","0","2","240","0","0","0"
"500008","0","2","480","0","0","0"
"500009","0","2","960","0","0","0"
"500010","0","2","1920","0","0","0"
"500012","0","1","45","0","0","0"
"500036","0","1","3600","3000","60","0"
"500037","0","2","3600","3000","60","0"
"501011","0","255","0","0","0","0"
