"1 - UInt32","2 - String","3 - String","4 - String","5 - Int32","6 - Int32","7 - Int32","8 - Int32","9 - Int32","10 - Int32","11 - Int32","12 - Int32","13 - Int32","14 - Int32","15 - Int32","16 - Int32","17 - Int32","18 - Int32","19 - Int32","20 - UInt32","21 - UInt32","22 - Int32","23 - Int32","24 - Single","25 - Single","26 - Int32","27 - UInt32","28 - UInt32","29 - Int32","30 - Int32"
"105750","Regeneration","Regeneration","Temporarily increase the HP regaining speed. Better than Restoration. ","128","0","0","2601","12","0","0","0","10002","-1","1","50","1057","210","0","9","0","0","600","0","0","100","3","0","0","0"
"105755","Frenzy","Frenzy","Temporarily increase the attack speed by 30%","26","0","0","2601","12","0","0","0","701","-1","1","55","1057","150","0","9","0","0","91","0","0","100","4","0","0","0"
"105760","Quake","Quake","A sword skill that attacks all the opponents around you ","128","0","0","2601","12","0","0","0","10002","-1","10","60","1057","200","0","9","0","0","51","0","0","100","3","0","20","0"
"106001","sprint","sprint","Temporarily increase your running speed","24","0","0","2701","-1","0","0","0","10029","-1","1","1","1060","5","0","9","0","0","60","0","0","100","4","0","0","0"
"106003","slash","slash","Inflict 120% damage","26","0","0","2601","12","0","0","0","10002","-1","7","3","1060","4","0","0","0","0","31","0","0","100","1","0","0","0"
"106005","crash","crash","Increases your chances of succeeding an attack by 1.5 times","24","0","0","2601","12","0","0","0","10002","-1","7","5","1060","4","0","0","0","0","31","0","0","100","1","0","0","0"
"106007","Defense","Defense","Temporarily increases your defense","24","0","0","2701","-1","0","0","0","701","-1","1","7","1060","4","0","9","0","0","100","0","0","100","4","0","0","0"
"106009","piercing","piercing","Increases your chances of succeeding an attack by 2 times","26","0","0","2601","12","0","0","0","10002","-1","7","9","1060","4","0","0","0","0","31","0","0","100","1","0","0","0"
"106500","Hash","Hash","30 additional damage that are uneffected by the opponent's defense ability","26","0","0","2601","12","0","0","0","10002","-1","7","0","1065","10","0","0","0","0","31","0","0","100","1","0","0","0"
"106505","hoodwink","hoodwink","Inflict 150% damage","26","0","0","2601","12","0","0","0","10002","-1","7","5","1065","30","0","0","0","0","5","0","0","100","1","0","0","0"
"106510","Shear","Shear","50 additional damage that are uneffected by the opponent's defense ability","26","0","0","2601","12","0","0","0","10002","-1","7","10","1065","20","0","0","0","0","31","0","0","100","1","0","0","0"
"106515","pierce","pierce","Inflict 100% damage with no chance of failure","26","0","0","2601","12","0","0","0","10002","-1","7","15","1065","60","0","0","0","0","5","0","0","100","1","0","0","0"
"106520","leg cutting","leg cutting","Slows down your enemy","26","0","0","2601","12","0","0","0","10002","-1","7","20","1065","84","0","0","0","0","51","0","0","100","1","4","0","0"
"106525","Carving","Carving","Inflict 200% damage ","26","0","0","2601","12","0","0","0","10002","-1","7","25","1065","90","0","0","0","0","5","0","0","100","1","0","0","0"
"106530","Sever","Sever","100 additional damage that are uneffected by the opponent's defense ability","26","0","0","2601","12","0","0","0","10002","-1","7","30","1065","40","0","0","0","0","31","0","0","100","1","0","0","0"
"106535","prick","prick","Inflict 150% damage with no chance of failure","26","0","0","2601","12","0","0","0","10002","-1","7","35","1065","120","0","0","0","0","5","0","0","100","1","0","0","0"
"106540","multiple shork","multiple shork","Inflict 150% damage and 50 additional damage","26","0","0","2601","12","0","0","0","10002","-1","7","40","1065","60","0","0","0","0","31","0","0","100","1","0","0","0"
"106545","Cleave","Cleave","Inflict 250% damage","26","0","0","2601","12","0","0","0","10002","-1","7","45","1065","150","0","0","0","0","5","0","0","100","1","0","0","0"
"106550","mangling","mangling","150 additional damage that are uneffected by the opponent's defense ability","26","0","0","2601","12","0","0","0","10002","-1","7","50","1065","60","0","0","0","0","31","0","0","100","1","0","0","0"
"106555","thrust ","thrust ","Inflict 200% damage with no chance of failure","26","0","0","2601","12","0","0","0","10002","-1","7","55","1065","200","0","0","0","0","5","0","0","100","1","0","0","0"
"106560","sword dancing","sword dancing","Inflict 250% damage with no chance of failure and 150 additional damage","26","0","0","2601","12","0","0","0","10002","-1","7","60","1065","300","0","0","0","0","5","0","0","100","1","0","0","0"
"106570","Howling Sword","Howling Sword","Inflict 300% damage with no chance of failure and 200 additional damage","26","0","0","2601","12","0","0","0","10002","-1","7","70","1065","400","0","0","0","0","8","0","0","100","1","0","0","51"
"106605","Hinder","Hinder","[Passive]Increase defense by 10%. If a shield is not equipped, the effect will decrase by half. ","26","0","0","2601","12","0","0","0","10002","-1","1","5","1066","0","0","9","0","0","0","0","0","100","0","0","0","0"
"106610","resist","resist","[Passive]Increaes all resistance by 30. If a shield is not equipped, the effect will decrase by half. ","26","0","0","2601","12","0","0","0","10002","-1","1","10","1066","0","0","9","0","0","0","0","0","100","0","0","0","0"
"106615","Arrest","Arrest","[Passive]Increase defense by 15%. If a shield is not equipped, the effect will decrase by half. ","26","0","0","2601","12","0","0","0","10002","-1","1","15","1066","0","0","9","0","0","0","0","0","100","0","0","0","0"
"106620","endure","endure","[Passive]Increase all resistance by 60. If a shield is not equipped, the effect will decrase by half. ","26","0","0","2601","12","0","0","0","10002","-1","1","20","1066","0","0","9","0","0","0","0","0","100","0","0","0","0"
"106630","Binding","Binding","Trick monster into attacking itself","129","0","0","2601","12","0","0","0","10002","-1","7","30","1066","30","0","9","0","0","65","0","0","100","7","0","30","0"
"106635","Bulwark","Bulwark","[Passive]Increase defense by 20%. If a shield is not equipped, the effect will decrase by half. ","26","0","0","2601","12","0","0","0","10002","-1","1","35","1066","0","0","9","0","0","0","0","0","100","0","0","0","0"
"106640","immunity","immunity","[Passive]Increase all resistance by 90. If a shield is not equipped, the effect will decrase by half. ","26","0","0","2601","12","0","0","0","10002","-1","1","40","1066","0","0","9","0","0","0","0","0","100","0","0","0","0"
"106645","provoke","provoke","Trick monsters within a certain range to attack themselves ","131","0","0","2601","12","0","0","0","10002","-1","10","45","1066","60","0","9","0","15","150","0","0","100","7","0","10","0"
"106650","descent","descent","Teleport to the location of a chosen party member ","0","0","0","701","-1","0","0","0","0","0","4","50","1066","50","0","9","0","0","91","0","0","100","8","0","100","0"
"106655","evading","evading","[Passive]Increase defense by 25%. If a shield is not equipped, the effect will decrase by half. ","26","0","0","2601","12","0","0","0","10002","-1","1","55","1066","0","0","9","0","0","0","0","0","100","0","0","0","0"
"106660","sacrifice","sacrifice","Sacrifice your own self to fill the HP one party member ","0","0","0","701","-1","0","0","0","602","-1","4","60","1066","180","10001","9","0","0","600","0","0","100","3","0","30","0"
"106670","Iron Skin","Iron Skin","[Passive]Increase defense by 30%. If a shield is not equipped, the effect will decrase by half. ","26","0","0","2601","12","0","0","0","10002","-1","1","70","1066","0","0","9","0","0","101","0","0","100","0","0","0","51"
"106705","Gain","Gain","Increase Strength by 15","26","0","0","2601","12","0","0","0","10002","-1","1","5","1067","10","0","9","0","0","91","0","0","100","4","0","0","0"
"106710","pain killer","pain killer","Exchange 100 HP for 200 Stamina","26","0","0","2601","12","0","0","0","701","-1","1","10","1067","0","100","9","0","0","45","0","0","100","3","0","0","0"
"106715","Rise","Rise","Increase HP by 10","26","0","0","2601","12","0","0","0","701","-1","1","15","1067","30","0","9","0","0","91","0","0","100","4","0","0","0"
"106720","Outrage","Outrage","Temporarily increases attack speed by 20%","26","0","0","2601","12","0","0","0","701","-1","1","20","1067","60","0","9","0","0","91","0","0","100","4","0","0","0"
"106725","Blade of hate","Blade of hate","Use mental power to attack an enemy that's standing at a distance. ","128","0","0","2601","12","0","0","0","10002","-1","7","25","1067","60","0","9","0","15","51","0","0","100","3","0","20","0"
"106730","restoration","restoration","Temporarily increases the HP regaining speed ","18","0","0","2601","7012","0","0","0","601","-1","1","30","1067","105","0","9","0","0","600","0","0","100","3","0","0","0"
"106731","Blaze Killer","Blaze Killer","Exchange 200HP for 400 Stamina","26","0","0","2601","12","0","0","0","701","-1","1","30","1067","0","200","9","0","0","65","0","0","100","3","0","0","0"
"106735","Nimble Wind","Nimble Wind","Increase your Dexterity by 20","128","0","0","2601","12","0","0","0","10002","-1","1","35","1067","90","0","9","0","0","91","0","0","100","4","0","0","0"
"106740","Return to life","Return to life","Exchange 500 Stamina for 250 HP","128","0","0","2601","12","0","0","0","10002","-1","1","40","1067","500","0","9","0","0","51","0","0","100","3","0","0","0"
"106750","Regeneration","Regeneration","Temporarily increases the HP regaining speed. Better than Restoration. ","128","0","0","2601","12","0","0","0","10002","-1","1","50","1067","210","0","9","0","0","600","0","0","100","3","0","0","0"
"106755","Frenzy","Frenzy","Temporarily increases the attack speed by 30%","26","0","0","2601","12","0","0","0","701","-1","1","55","1067","150","0","9","0","0","91","0","0","100","4","0","0","0"
"106760","Quake","Quake","A sword skill that attacks all the opponents around you ","128","0","0","2601","12","0","0","0","10002","-1","10","60","1067","160","0","9","0","0","51","0","0","100","3","0","20","0"
"106770","berserk Echo","berserk Echo","Temporarily increases the attack speed by 40%. ","26","0","0","2601","12","0","0","0","701","-1","1","70","1067","250","0","9","0","0","101","0","0","100","4","0","0","51"
"106800","boldness","boldness","[Passive]Increase your defense by 20% when your HP is down to 30% or below.","24","0","0","2601","0","0","0","0","10121","0","1","0","1068","0","0","9","0","0","0","0","0","100","0","0","0","0"
"106802","Scream","Scream","A fail-safe attack that inflicts 250% Damage and 150 Damage.  It also freezes the enemy temporarily.  ","26","1","0","2601","0","0","0","0","10124","0","7","2","1068","300","0","0","379063000","0","101","0","0","100","1","4","0","0"
"106805","absoluteness","absoluteness","[Passive]Decreases all damages received by 10%","24","0","0","2601","0","0","0","0","0","0","1","5","1068","0","0","9","0","0","0","0","0","100","0","0","0","0"
"106810","matchless","matchless","[Passive]Decreases all damages received by 15%","24","0","0","2601","0","0","0","0","0","0","1","10","1068","0","0","9","0","0","0","0","0","100","0","0","0","0"
"107001","sprint","sprint","Temporarily increase your running speed","24","0","0","2701","-1","0","0","0","10029","-1","1","1","1070","5","0","9","0","0","60","0","0","100","4","0","0","0"
"107003","Archery","Archery","Shoot arrows","26","0","0","500","12","0","0","590","550","0","7","3","1070","0","0","7","391010000","13","0","0","0","100","2","0","0","0"
"107005","stab","stab","Use a dagger to inflict 150% damage","26","0","0","2601","12","0","0","0","10002","-1","7","5","1070","5","0","1","0","0","52","0","0","100","1","0","0","0"
"107010","swift","swift","Increase the running speed of a friend","18","0","0","2701","-1","0","0","0","702","-1","2","10","1070","15","0","9","0","15","0","0","0","100","4","0","25","0"
"107030","Strength of wolf","Strength of wolf","Increase the attack powers of your party members. ","19","0","0","2701","-1","0","0","0","702","-1","6","30","1070","30","0","9","370004000","17","0","0","0","100","4","0","30","0"
"107500","through shot","through shot","Inflict 150% damage","26","0","0","500","12","0","0","590","550","0","7","0","1075","15","0","7","391010000","13","0","0","0","100","2","0","0","0"
"107505","fire arrow","fire arrow","Shoot flame arrows","26","0","0","10109","12","0","0","10110","101","0","7","5","1075","10","0","7","391010000","13","32","0","0","100","2","3","0","0"
"107510","poison arrow","poison arrow","Shoot poison arrows","26","0","0","10115","12","0","0","10116","801","0","7","10","1075","10","0","7","391010000","13","32","0","0","100","2","3","0","0"
"107515","multiple shot","multiple shot","Shoot 3 arrows simultaneously","26","0","0","500","12","0","0","590","550","0","7","15","1075","40","0","7","391010000","13","0","0","0","100","2","0","0","0"
"107520","Guided arrow","Guided arrow","100% accurate arrow","26","0","0","500","12","0","0","592","550","0","7","20","1075","40","0","7","391010000","13","0","0","0","100","2","0","0","0"
"107525","perfect shot","perfect shot","Inflict 200% damage","26","0","0","500","12","0","0","590","550","0","7","25","1075","70","0","7","391010000","13","0","0","0","100","2","0","0","0"
"107530","fire shot","fire shot","Arrow attack that inflicts additional flame damage","26","0","0","10109","12","0","0","10110","101","0","7","30","1075","30","0","7","391010000","13","42","0","0","100","2","3","0","0"
"107535","poison shot","poison shot","Arrow attack that inflicts additional poison damage","26","0","0","10115","12","0","0","10116","801","0","7","35","1075","30","0","7","391010000","13","42","0","0","100","2","3","0","0"
"107540","arc shot","arc shot","Inflict 250% damage","26","0","0","500","12","0","0","590","550","0","7","40","1075","100","0","7","391010000","13","0","0","0","100","2","0","0","0"
"107545","explosive shot","explosive shot","The strongest flame arrow","26","0","0","10109","12","0","0","10110","101","0","7","45","1075","50","0","7","391010000","13","42","0","0","100","2","3","0","0"
"107550","viper","viper","The strongest poison arrow","26","0","0","10115","12","0","0","10116","801","0","7","50","1075","50","0","7","391010000","13","42","0","0","100","2","3","0","0"
"107555","arrow shower","arrow shower","Shoot 5 arrows simulataneously ","26","0","0","500","12","0","0","590","550","0","7","55","1075","150","0","7","391010000","15","0","0","0","100","2","0","0","0"
"107560","shadow hunter","shadow hunter","100% accurate arrow with 250% damage","26","0","0","500","12","0","0","592","550","0","7","60","1075","250","0","7","391010000","13","0","0","0","100","2","0","0","0"
"107600","Jab","Jab","A stabbing technique that disregards opponent's defense ","26","0","0","2601","12","0","0","0","10002","-1","7","0","1076","10","0","1","0","0","52","0","0","100","1","0","0","0"
"107610","Blood drain","Blood drain","Obsolve 5% of the enemy's HP. Can be used only once every minute. ","114","0","0","2202","2","0","0","0","801","-1","7","10","1076","20","0","1","0","16","600","0","0","100","3","0","5","0"
"107615","Pierce","Pierce","Inflict 200% damage","26","0","0","2601","12","0","0","0","10002","-1","7","15","1076","20","0","1","0","0","102","0","0","100","1","0","0","0"
"107620","shock","shock","A stabbing technique that disregards opponent's defense ","26","0","0","2601","12","0","0","0","10002","-1","7","20","1076","20","0","1","0","0","52","0","0","100","1","0","0","0"
"107630","Illusion","Illusion","Temporarily decreases enemy's attack accuracy","128","0","0","3101","12","0","0","0","801","0","7","30","1076","30","0","1","0","16","102","0","0","100","4","0","20","0"
"107635","Thrust","Thrust","Inflict 400% damage","26","0","0","2601","12","0","0","0","10002","-1","7","35","1076","50","0","1","0","0","102","0","0","100","1","0","0","0"
"107640","Cut","Cut","A stabbing technique that disregards opponent's defense ","26","0","0","2601","12","0","0","0","10002","-1","7","40","1076","50","0","1","0","0","52","0","0","100","1","0","0","0"
"107645","Stealth","Stealth","Stay invisible for 80 seconds without attacking","18","0","0","2705","-1","0","0","0","0","-1","1","45","1076","270","0","9","0","30","90","0","0","25","9","0","0","0"
"107650","Vampiric touch","Vampiric touch","Obsolve 10% of the enemy's HP. Can be used only once every minute. ","126","0","0","2202","2","0","0","0","801","-1","7","50","1076","50","0","1","0","16","600","0","0","100","3","0","5","0"
"107655","Spike","Spike","Inflict 600% damage","26","0","0","2601","12","0","0","0","10002","-1","7","55","1076","100","0","1","0","0","112","0","0","100","1","0","0","0"
"107700","Hide","Hide","Stay invisible for 40 seconds without moving","18","0","0","2704","-1","0","0","0","0","-1","1","0","1077","40","0","9","0","15","55","0","0","40","9","0","0","0"
"107705","minor healing","minor healing","Heal 60 HP","16","0","0","2601","7012","0","0","0","601","-1","2","5","1077","100","0","9","0","0","0","0","0","100","3","0","25","0"
"107710","evade","evade","Increases your Defense Ability by 200. ","24","0","0","2701","-1","0","0","0","2706","-1","1","10","1077","40","0","9","0","0","300","0","0","100","4","0","0","0"
"107715","Cat's eyes","Cat's eyes","Allows you to see an invisible enemy for 20 seconds","18","0","0","2701","-1","0","0","0","0","-1","1","15","1077","60","0","9","0","15","40","0","0","70","9","0","0","0"
"107725","light feet","light feet","Temporarily increases your running speed by 2 times","24","0","0","2701","-1","0","0","0","702","-1","1","25","1077","40","0","9","0","0","102","0","0","100","4","0","0","0"
"107730","safety","safety","Increases your Defense Ability by 400. ","24","0","0","2701","-1","0","0","0","2707","-1","1","30","1077","80","0","9","0","0","300","0","0","100","4","0","0","0"
"107735","Lupine Eyes","Lupine Eyes","Allows you and your party members to see an invisible enemy for 50 seconds","18","0","0","2701","-1","0","0","0","0","-1","1","35","1077","200","0","9","0","20","90","0","0","70","9","0","25","0"
"107736","Cure curse","Cure curse","Recovers user ability that was lost for a user of same nationality.","18","0","0","2701","-1","0","0","0","702","-1","2","36","1077","80","0","9","370005000","15","12","0","0","100","5","0","25","0"
"107748","Cure disease","Cure disease","Neutralizes magics that decrease your HP","18","0","0","2701","-1","0","0","0","702","-1","2","48","1077","80","0","9","370006000","15","12","0","0","100","5","0","25","0"
"107760","scaled skin","scaled skin","Increases your Defense Ability by 800. ","24","0","0","2701","-1","0","0","0","2708","-1","1","60","1077","160","0","9","0","0","300","0","0","100","4","0","0","0"
"108001","sprint","sprint","Temporarily increase your running speed","24","0","0","2701","-1","0","0","0","10029","-1","1","1","1080","5","0","9","0","0","60","0","0","100","4","0","0","0"
"108003","Archery","Archery","Shoot arrows","26","0","0","500","12","0","0","590","550","0","7","3","1080","0","0","7","391010000","13","0","0","0","100","2","0","0","0"
"108005","stab","stab","Use a dagger to inflict 150% damage","26","0","0","2601","12","0","0","0","10002","-1","7","5","1080","5","0","1","0","0","52","0","0","100","1","0","0","0"
"108010","swift","swift","Increase the running speed of a friend","18","0","0","2701","-1","0","0","0","702","-1","2","10","1080","15","0","9","0","15","0","0","0","100","4","0","25","0"
"108030","Strength of wolf","Strength of wolf","Increase the attack powers of your party members. ","19","0","0","2701","-1","0","0","0","702","-1","6","30","1080","30","0","9","370004000","17","0","0","0","100","4","0","30","0"
