"1 - UInt32","2 - String"
"35582","Learn about siege war weapons. "
"35583","Leader Car"
"35584","Catapult"
"35585","Laddar Truck "
"35586","Battering Ram"
"35595","1. Monster Hunting Helper"
"35596","2. Party Helper"
"35597","3. Location and functions of each NPC"
"35598","4. Clan Helper"
"35641","Enter the battle field. "
"35643","Walk away. "
"35659","Exchange Unique Item Lottery"
"35663","Yes, I'll deliver it. "
"35664","Walk away. "
"35680","Athens Olympic Event."
"35687","Premium Lotto Ticket. "
"35688","I've brought the Premium Lotto Ticket. "
"35689","I'll bring the Premium Lotto Ticket. "
"35692","Yes, I want to use the Premium Lotto Ticket. "
"35693","No, I'll use it later. "
"35701","I'd like to hear the basic hunting instructions. "
"35702","I want to goto the hunting zone. "
"35703","4. Choosing specialty"
"35704","Inn Keeper"
"35900","SAT event."
"35902","Receive prize. "
"35903","Walk away. "
"35906","Exchange Abyss Gem. "
"35907","Exchange Item Upgrade Scroll. "
"35908","Exchange Blessed Item Upgrade Scroll. "
"35909","Exchange Stat Scrolls."
"35910","Exchange Scroll of Lion Strength(L)"
"35911","Exchange Green Treasure Chest of the Lost Temple. "
"35912","Exchange Blue Treasure Chest of the Lost Temple. "
"35913","Exchange Trian's Piece"
"35914","Exchange Redistribution Item"
"35915","Exchange Scroll of Strength(L)"
"35916","Exchange Scroll of Health(L)"
"35917","Exchange Scroll of Dexterity(L)"
"35918","Exchange Scroll of Intelligence(L)"
"35919","Exchange Scroll of Magic Power(L)"
"35933","Exchange Premium Lotto Ticket"
"40009","Do not enter the Hell Abyss"
"40010","Move to the floor below"
"40041","Use the teleport key"
"40045","Jump"
"40048","Move to the floor below"
"40060","I'll use it later. "
"40061","Move to the 10th floor of Desperation Abyss"
"40062","Move to the 20th floor of Desperation Abyss"
"40063","Move to the 8th floor of Hell Abyss"
"40064","Move to the 16th floor of Hell Abyss"
"40065","Move to the 50th floor"
"40066","Move to the 60th floor"
"40067","Move to the 70th floor"
"40068","Move to the 80th floor"
"40069","Move to the 90th floor"
"40075","Enter the Hell Abyss"
"40076","Teleport to Desperation Abyss"
"40090","Move to the floor above"
"40095","Move to the floor above"
"40099","Exit from Abyss"
