"1 - UInt32","2 - String","3 - String","4 - Int32","5 - Int32","6 - Int32","7 - Int32","8 - Int32","9 - Int32","10 - Int32","11 - Int32","12 - Int32","13 - Int32","14 - Int32","15 - Int32","16 - Int32","17 - Int32","18 - Int32","19 - Int32","20 - Int32","21 - Byte","22 - UInt32","23 - UInt32","24 - UInt32","25 - UInt32","26 - Byte","27 - UInt32","28 - UInt32"
"472110","Skeleton knight","스켈레톤 나이트","130","1100","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","0","0"
"472120","Smilodon","스미르돈","100","600","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","0","0"
"472130","Mastodon","마스토돈","120","400","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","0","0"
"472132","Black widow","블랙 위도우","100","3400","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","1","0","0"
"472140","Megarodon","메가로돈","150","400","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"472150","Death knight","데쓰 나이트","150","1100","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","121510000","0"
"472160","Sheriff","셰리프","100","1200","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","10","1","2","1","1","0","0"
"472170","Gaunga","가웅가","102","1300","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"472180","Cardinal","카디널","130","1200","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"472190","Haunga","하웅가","100","1300","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"472192","gloom  hound","그룸 하운드","90","610","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"472200","Harunga","하룽가","101","1300","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","131510000","0"
"472202","burning skeleton","버닝 스켈레톤","150","3700","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","121510000","0"
"472210","Deruvish","데루비시","110","2100","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"472212","Reaper","리퍼","150","3500","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","120750000","170250000"
"472220","Apostle","사도","120","2100","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"472230","Harpy","하피","100","2200","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"472240","Troll","트롤","120","1701","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"472248","HOBGOBLIN","홉고블린","160","2010","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","120510000","0"
"472250","Raven Harpy","레이븐 하피","120","2200","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"472260","Uruk Tron","우르크트론","150","1636","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","120350000","170150000"
"472270","Troll Warrior","트롤 워리어","150","1701","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"472272","fallen Angel","타락천사","100","3000","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"472274","Manticore","맨티코어","130","3800","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"472276","Centaur","켄타우르스","150","2600","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","169010257"
"472280","Stone golem","스톤 골렘","80","2400","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"472290","Troll Captain","트롤 캡틴","210","1701","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","140650000","0"
"472300","Orc bandit officer","오크 산적 법사 부두목","100","1606","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"472310","Orc bandit officer","오크 산적 궁수 부두목","100","1631","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"472320","Orc bandit officer","오크 산적 전사 부두목","100","1636","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"472322","Flame Rock","플레임 록","80","3600","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"472330","Harpy Queen","하피 퀸","180","2200","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"472340","Giant golem","자이언트 골렘","100","2400","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"472350","Troll King","트롤 킹","240","1701","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"472910","Goddess Adelia","여신 아딜리아","110","25001","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"472920","the envoy of God Pathos","파토신의 사자","120","4800","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","2","0","1","0","0"
"478001","엘모라드 눈사람 인형","엘모라드 눈사람으로 변신합니다.","100","2701","1200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","0","0","0"
"478002","카루스 눈사람 인형","카루스 눈사람으로 변신합니다.","100","2702","1200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1111","1","1","0","0","0","0"
