"1 - UInt32","2 - Byte","3 - String","4 - String","5 - UInt32","6 - Byte","7 - UInt32","8 - UInt32","9 - UInt32","10 - UInt32","11 - Byte","12 - Byte","13 - Byte","14 - Byte","15 - Byte","16 - Int16","17 - Int16","18 - Int16","19 - Int16","20 - Int16","21 - Int32","22 - Int32","23 - Int16","24 - Byte","25 - UInt32","26 - UInt32","27 - SByte","28 - SByte","29 - Byte","30 - Byte","31 - Byte","32 - Byte","33 - Byte","34 - Byte","35 - Byte","36 - Byte","37 - Byte"
"110710000","0","Assassin Dagger","","0","0","11071000","11071000","14","301","11","0","0","0","0","34","109","10","20","4000","53070","0","0","0","0","0","32","99","0","0","0","1","114","0","0","201","1"
"110810000","0","Sword breaker","","0","0","11081000","11081000","14","301","11","0","0","0","0","41","109","10","20","4000","101018","0","0","0","0","0","38","99","0","0","0","2","126","0","0","201","1"
"110910000","0","Kukry","","0","0","11091000","11091000","14","301","11","0","0","0","0","47","109","10","20","4000","175761","0","0","0","0","0","44","99","0","0","0","3","138","0","0","0","2"
"111010000","0","Cleaver","","0","0","11101000","11101000","14","301","11","0","0","0","0","54","109","10","20","4000","286232","0","0","0","0","0","50","99","0","0","0","4","150","0","0","0","2"
"111110000","0","Mirage Dagger","","0","0","11111000","11111000","14","301","11","0","0","0","0","61","109","10","20","4000","443045","0","0","0","0","0","56","99","0","0","0","5","162","0","0","0","3"
"111210000","0","Shard","","0","0","11121000","11121000","14","301","11","0","0","0","0","66","109","10","20","4000","618052","0","0","0","0","0","61","99","0","0","0","6","172","0","0","0","3"
"111470000","22","Training Knife","Knife for training rogues","0","0","11071000","11071000","14","301","11","0","0","0","2","46","109","10","20","4000","50","0","0","0","0","0","15","99","0","0","0","0","0","0","0","0","0"
"119101000","23","Dark Vane","Made by the Dark Elf, it kills the opponent instantaneously. ","0","0","11121000","11121000","14","301","11","0","0","0","0","62","109","10","30","4000","310158","0","0","0","0","0","40","99","0","0","0","0","140","0","0","0","0"
"120010000","22","Short Sword","Basic Warrior Item","0","0","12011000","12011000","14","301","21","0","0","0","0","4","114","10","30","5000","50","0","0","0","0","0","1","99","0","0","0","0","0","0","0","0","0"
"120050000","22","Short Sword","Basic Warrior Item","0","0","12015000","12015000","14","301","21","0","0","0","0","4","114","10","30","5000","50","0","0","0","0","0","1","99","0","0","0","0","0","0","0","0","0"
"120110000","1","Short Blade","","0","0","12011000","12011000","14","301","21","0","0","0","0","5","114","10","30","5000","205","0","0","0","0","0","6","99","0","0","62","0","0","0","0","201","1"
"120150000","1","Short Sword","","0","0","12015000","12015000","14","301","21","0","0","0","0","5","114","10","30","5000","205","0","0","0","0","0","6","99","0","0","62","0","0","0","0","101","1"
"120310000","1","Long Sword","","0","0","12021000","12021000","14","301","21","0","0","0","0","9","114","10","40","5000","1043","0","0","0","0","0","11","99","0","0","72","0","0","0","0","201","1"
"120350000","1","Broad Sword","","0","0","12081000","12081000","14","301","21","0","0","0","0","9","114","10","40","5000","1043","0","0","0","0","0","11","99","0","0","72","0","0","0","0","101","1"
"120510000","1","Scimitar","","0","0","12041000","12041000","14","301","21","0","0","0","0","15","114","10","60","5000","7647","0","0","0","0","0","19","99","0","0","88","0","0","0","0","201","1"
"120550000","1","Falchion","","0","0","12031000","12031000","14","301","21","0","0","0","0","15","114","10","60","5000","7647","0","0","0","0","0","19","99","0","0","88","0","0","0","0","101","1"
"120710000","1","Flame Sword","","0","0","12091000","12091000","14","301","21","0","0","0","0","22","114","10","70","5000","32270","0","0","0","0","0","28","99","0","0","106","0","0","0","0","201","1"
"120750000","1","Sabre","","0","0","12061000","12061000","14","301","21","0","0","0","0","22","114","10","70","5000","32270","0","0","0","0","0","28","99","0","0","106","0","0","0","0","101","1"
"120810000","1","Rapier","","0","0","12081000","12081000","14","301","21","0","0","0","0","38","114","10","70","5000","66563","0","0","0","0","0","34","99","0","0","118","0","0","0","0","201","1"
"120910000","1","Gradius","","0","0","12091000","12091000","14","301","21","0","0","0","0","45","114","10","70","5000","122547","0","0","0","0","0","40","99","0","0","130","0","0","0","0","201","1"
"121010000","1","Crescent","","0","0","12101000","12101000","14","301","21","0","0","0","0","52","114","10","70","5000","208127","0","0","0","0","0","46","99","0","0","142","0","0","0","0","0","2"
"121110000","1","Blade","","0","0","12111000","12111000","14","301","21","0","0","0","0","60","114","10","70","5000","358112","0","0","0","0","0","53","99","0","0","156","0","0","0","0","0","2"
"121210000","1","Slayer","","0","0","12121000","12121000","14","301","21","0","0","0","0","66","114","10","70","5000","507711","0","0","0","0","0","58","99","0","0","166","0","0","0","0","0","3"
"121310000","1","Graham","","0","0","12131000","12131000","14","301","21","0","0","0","0","72","114","10","70","5000","746039","0","0","0","0","0","64","99","0","0","178","0","0","0","0","0","3"
"121510000","22","Skeleton Sword","","0","0","12051000","12151000","0","0","21","0","0","0","0","50","110","10","35","2500","30000","0","0","0","0","0","18","99","0","0","0","0","0","0","0","0","0"
"125070000","22","Two-Handed Training Sword","Two-handed sword for training warriors","0","0","12571000","12571000","14","301","22","0","3","0","1","83","139","15","80","5000","50","0","0","0","0","0","15","99","0","0","0","0","0","0","0","0","0"
"125210000","2","Combined Blade","","0","0","12521000","12521000","14","301","22","0","3","0","0","12","139","15","80","5000","495","0","0","0","0","0","8","99","0","0","66","0","0","0","0","201","1"
"125250000","2","Bastard Sword","","0","0","12525000","12525000","14","301","22","0","3","0","0","12","139","15","80","5000","495","0","0","0","0","0","8","99","0","0","66","0","0","0","0","101","1"
"125310000","2","Two-Handed Sword","","0","0","12531000","12531000","14","301","22","0","3","0","0","16","139","15","90","5000","1197","0","0","0","0","0","11","99","0","0","72","0","0","0","0","201","1"
"125350000","2","Twei Hander","","0","0","12541000","12541000","14","301","22","0","3","0","0","16","139","15","90","5000","1197","0","0","0","0","0","11","99","0","0","72","0","0","0","0","101","1"
"125610000","2","Battle Sword","","0","0","12551000","12551000","14","301","22","0","3","0","0","27","139","15","100","5000","7913","0","0","0","0","0","19","99","0","0","88","0","0","0","0","201","1"
"125650000","2","War Sword","","0","0","12561000","12561000","14","301","22","0","3","0","0","27","139","15","100","5000","7913","0","0","0","0","0","19","99","0","0","88","0","0","0","0","101","1"
"125810000","2","Great Sword","","0","0","12571000","12571000","14","301","22","0","3","0","0","39","139","15","100","5000","32662","0","0","0","0","0","28","99","0","0","106","0","0","0","0","201","1"
"125850000","2","Giant Sword","","0","0","12581000","12581000","14","301","22","0","3","0","0","39","139","15","100","5000","32662","0","0","0","0","0","28","99","0","0","106","0","0","0","0","101","1"
"125910000","2","Claymore","","0","0","12591000","12591000","14","301","22","0","3","0","0","65","139","15","100","5000","67039","0","0","0","0","0","34","99","0","0","118","0","0","0","0","201","1"
"126010000","2","Flamberge","","0","0","12601000","12601000","14","301","22","0","3","0","0","77","139","15","100","5000","123107","0","0","0","0","0","40","99","0","0","130","0","0","0","0","201","1"
"126110000","2","Double Blade","","0","0","12611000","12611000","14","301","22","0","3","0","0","88","139","15","100","5000","208771","0","0","0","0","0","46","99","0","0","142","0","0","0","0","0","2"
"126210000","2","Destroyer","","0","0","12621000","12621000","14","301","22","0","3","0","0","102","139","15","100","5000","358854","0","0","0","0","0","53","99","0","0","156","0","0","0","0","0","2"
"126310000","2","Durandal","","0","0","12631000","12631000","14","301","22","0","3","0","0","112","139","15","100","5000","508523","0","0","0","0","0","58","99","0","0","166","0","0","0","0","0","3"
"126410000","2","Mirage","","0","0","12641000","12641000","14","301","22","0","3","0","0","123","139","15","100","5000","746935","0","0","0","0","0","64","99","0","0","178","0","0","0","0","0","3"
"129101000","23","Hanguk Sword","Crafted by the artisans of Chosun. Has mysterious powers.","0","0","12151000","12151000","14","301","21","0","0","0","0","67","114","10","80","5000","310158","0","0","0","0","0","40","99","0","0","130","0","0","0","0","0","0"
"130110000","22","Stone Axe","","0","0","13011000","13011000","330","341","31","0","0","0","0","10","114","10","30","7000","405","0","0","0","0","0","2","99","0","0","60","0","0","0","0","0","0"
"130210000","3","Hand Axe","","0","0","13021000","13021000","330","341","31","0","0","0","0","11","114","10","30","7000","2572","0","0","0","0","0","14","99","0","0","78","0","0","0","0","201","1"
"130250000","3","Wood Cutter","","0","0","13031000","13031000","330","341","31","0","0","0","0","11","114","10","30","7000","2572","0","0","0","0","0","14","99","0","0","78","0","0","0","0","101","1"
"130410000","3","Double Axe","","0","0","13041000","13041000","330","341","31","0","0","0","0","18","119","10","40","7000","13329","0","0","0","0","0","22","99","0","0","94","0","0","0","0","201","1"
"130450000","3","Large Axe","","0","0","13081000","13081000","330","341","31","0","0","0","0","18","119","10","40","7000","13329","0","0","0","0","0","22","99","0","0","94","0","0","0","0","101","1"
"130610000","3","Bipennis","","0","0","13042000","13042000","330","341","31","0","0","0","0","24","119","10","50","7000","41929","0","0","0","0","0","30","99","0","0","110","0","0","0","0","201","1"
"130650000","3","Warrior Axe","","0","0","13082000","13082000","330","341","31","0","0","0","0","24","119","10","50","7000","41929","0","0","0","0","0","30","99","0","0","110","0","0","0","0","101","1"
"130710000","3","Military Pick","","0","0","13021000","13021000","330","341","31","0","0","0","0","44","119","10","50","7000","91644","0","0","0","0","0","37","99","0","0","124","0","0","0","0","201","1"
"130810000","3","Cleaver Axe","","0","0","13041000","13041000","330","341","31","0","0","0","0","51","119","10","50","7000","161385","0","0","0","0","0","43","99","0","0","136","0","0","0","0","0","2"
"130910000","3","Wrist Cutter","","0","0","13021000","13021000","330","341","31","0","0","0","0","58","119","10","50","7000","265254","0","0","0","0","0","49","99","0","0","148","0","0","0","0","0","2"
"131010000","3","Tomahawk","","0","0","13041000","13041000","330","341","31","0","0","0","0","65","119","10","50","7000","413572","0","0","0","0","0","55","99","0","0","160","0","0","0","0","0","3"
"131110000","3","Deep Scar","","0","0","13111000","13111000","330","341","31","0","0","0","0","72","119","10","50","9000","618479","0","0","0","0","12050000","61","99","0","0","172","0","0","0","0","0","3"
"131510000","22","Cyclops Giant Arrow","","0","0","13051000","12011000","0","0","21","0","0","0","0","12","110","15","100","5000","20000","0","0","0","0","0","25","99","0","0","0","0","0","0","0","0","0"
"131610000","22","Attila Axe","","0","0","13061000","13061000","330","341","32","0","3","0","0","64","120","15","90","8000","759000","0","0","0","0","0","1","99","0","0","90","0","0","0","0","0","0"
"131710000","22","Dreadmare Axe","Monster Weapon","0","0","13171000","13171000","0","0","21","0","0","0","0","1","100","0","0","5000","20000","0","0","0","0","0","0","99","0","0","0","0","0","0","0","0","0"
"135310000","4","Battle Axe","","0","0","13511000","13511000","330","341","32","0","3","0","0","20","139","15","120","7000","2768","0","0","0","0","0","14","99","0","0","78","0","0","0","0","201","1"
"135350000","4","War Axe","","0","0","13521000","13521000","330","341","32","0","3","0","0","20","139","15","120","7000","2768","0","0","0","0","0","14","99","0","0","78","0","0","0","0","101","1"
"135510000","4","Timber Axe","","0","0","13531000","13531000","330","341","32","0","3","0","0","31","139","15","120","7000","13637","0","0","0","0","0","22","99","0","0","94","0","0","0","0","201","1"
"135550000","4","Lumber Axe","","0","0","13541000","13541000","330","341","32","0","3","0","0","31","139","15","120","7000","13637","0","0","0","0","0","22","99","0","0","94","0","0","0","0","101","1"
"135620000","22","Chinese Flag","","0","0","13562000","13562000","0","0","97","0","0","0","0","0","109","0","1","20000","10000","0","0","0","0","0","1","99","0","0","0","0","0","0","0","0","0"
"135621000","22","Gold Trophy","","0","0","13562100","13562100","0","0","97","0","0","0","0","0","32000","0","1","20000","10000","0","0","0","0","0","1","99","0","0","0","0","0","0","0","0","0"
"135622000","22","Silver Trophy","","0","0","13562200","13562200","0","0","97","0","0","0","0","0","32000","0","1","20000","10000","0","0","0","0","0","1","99","0","0","0","0","0","0","0","0","0"
"135623000","22","Bronze Trophy","","0","0","13562300","13562300","0","0","97","0","0","0","0","0","32000","0","1","20000","10000","0","0","0","0","0","1","99","0","0","0","0","0","0","0","0","0"
"135624000","22","","","0","0","13562400","13562400","0","0","95","0","0","0","0","0","109","0","1","20000","10000","0","0","0","0","0","1","99","0","0","0","0","0","0","0","0","0"
"135710000","4","Twin Axe","","0","0","13551000","13551000","330","341","32","0","3","0","0","42","139","15","120","7000","42349","0","0","0","0","0","30","99","0","0","110","0","0","0","0","201","1"
"135750000","4","Tabar","","0","0","13561000","13561000","330","341","32","0","3","0","0","42","139","15","120","7000","42349","0","0","0","0","0","30","99","0","0","110","0","0","0","0","101","1"
"135810000","4","Great Axe","","0","0","13511000","13511000","330","341","32","0","3","0","0","71","139","15","120","7000","92162","0","0","0","0","0","37","99","0","0","124","0","0","0","0","201","1"
"135910000","4","Broad Axe","","0","0","13531000","13531000","330","341","32","0","3","0","0","82","139","15","120","7000","161987","0","0","0","0","0","43","99","0","0","136","0","0","0","0","0","2"
"136010000","4","Bone Axe","","0","0","13511000","13511000","330","341","32","0","3","0","0","95","139","15","120","7000","265940","0","0","0","0","0","49","99","0","0","148","0","0","0","0","0","2"
"136110000","4","Bone Cleaver","","0","0","13531000","13531000","330","341","32","0","3","0","0","106","139","15","120","7000","414342","0","0","0","0","0","55","99","0","0","160","0","0","0","0","0","3"
"136210000","4","Blade Axe","","0","0","13621000","13621000","330","341","32","0","3","0","0","117","139","15","120","7000","619333","0","0","0","0","12050000","61","99","0","0","172","0","0","0","0","0","3"
"140210000","5","Maul","","0","0","14061000","14061000","330","341","41","0","0","0","0","13","119","10","50","10000","4213","0","0","0","0","0","16","99","0","0","82","0","0","0","0","201","1"
"140250000","5","Morning Star","","0","0","14041000","14041000","330","341","41","0","0","0","0","13","119","10","50","10000","4213","0","0","0","0","0","16","99","0","0","82","0","0","0","0","101","1"
"140410000","5","Mace","","0","0","14021000","14021000","330","341","41","0","0","0","0","20","119","10","50","10000","21440","0","0","0","0","0","25","99","0","0","100","0","0","0","0","201","1"
"140450000","5","Iron Star","","0","0","14042000","14042000","330","341","41","0","0","0","0","20","119","10","50","10000","21440","0","0","0","0","0","25","99","0","0","100","0","0","0","0","101","1"
"140610000","5","War Hammer","","0","0","14025000","14025000","330","341","41","0","0","0","0","26","119","10","60","10000","53406","0","0","0","0","0","32","99","0","0","114","0","0","0","0","201","1"
"140650000","5","Spiked Club","","0","0","14011000","14011000","330","341","41","0","0","0","0","26","119","10","60","10000","53406","0","0","0","0","0","32","99","0","0","114","0","0","0","0","101","1"
"140710000","5","Breaker","","0","0","14061000","14061000","330","341","41","0","0","0","0","46","119","10","60","10000","111803","0","0","0","0","0","39","99","0","0","128","0","0","0","0","201","1"
"140810000","5","Hacker","","0","0","14021000","14021000","330","341","41","0","0","0","0","53","119","10","60","10000","191899","0","0","0","0","0","45","99","0","0","140","0","0","0","0","0","2"
"140910000","5","Cracker","","0","0","14061000","14061000","330","341","41","0","0","0","0","61","119","10","60","10000","333324","0","0","0","0","0","52","99","0","0","154","0","0","0","0","0","2"
"141010000","5","Bone Crasher","","0","0","14021000","14021000","330","341","41","0","0","0","0","67","119","10","60","10000","475131","0","0","0","0","0","57","99","0","0","164","0","0","0","0","0","3"
"141110000","5","Impact","","0","0","14111000","14111000","330","341","41","0","0","0","0","74","119","10","60","14000","701959","0","0","0","0","12130000","63","99","0","0","176","0","0","0","0","0","3"
"142110000","22","monster weapon","","0","0","14211000","14211000","330","341","41","0","0","0","0","74","119","10","60","10000","701959","0","0","0","0","0","63","99","0","0","176","0","0","0","0","0","0"
"145310000","6","Great Maul","","0","0","14511000","14511000","330","341","42","0","3","0","0","25","149","15","140","10000","4325","0","0","0","0","0","16","99","0","0","82","0","0","0","0","201","1"
"145350000","6","Giant Maul","","0","0","14521000","14521000","330","341","42","0","3","0","0","25","149","15","140","10000","4325","0","0","0","0","0","16","99","0","0","82","0","0","0","0","101","1"
"145510000","6","Battle Mace","","0","0","14531000","14531000","330","341","42","0","3","0","0","36","149","15","140","10000","18619","0","0","0","0","0","24","99","0","0","98","0","0","0","0","201","1"
"145550000","6","War Club","","0","0","14541000","14541000","330","341","42","0","3","0","0","36","149","15","140","10000","18619","0","0","0","0","0","24","99","0","0","98","0","0","0","0","101","1"
"145710000","6","Great Mace","","0","0","14551000","14551000","330","341","42","0","3","0","0","48","149","15","140","10000","53630","0","0","0","0","0","32","99","0","0","114","0","0","0","0","201","1"
"145750000","6","Giant Morning Star","","0","0","14561000","14561000","330","341","42","0","3","0","0","48","149","15","140","10000","53630","0","0","0","0","0","32","99","0","0","114","0","0","0","0","101","1"
"145810000","6","Weight Hammer","","0","0","14511000","14511000","330","341","42","0","3","0","0","81","149","15","140","10000","112076","0","0","0","0","0","39","99","0","0","128","0","0","0","0","0","1"
"145910000","6","Large Breaker","","0","0","14531000","14531000","330","341","42","0","3","0","0","93","149","15","140","10000","192214","0","0","0","0","0","45","99","0","0","140","0","0","0","0","0","2"
"146010000","6","Large Hacker","","0","0","14511000","14511000","330","341","42","0","3","0","0","107","149","15","140","10000","333688","0","0","0","0","0","52","99","0","0","154","0","0","0","0","0","2"
"146110000","6","Totamic Club","","0","0","14531000","14531000","330","341","42","0","3","0","0","117","149","15","140","10000","475530","0","0","0","0","0","57","99","0","0","164","0","0","0","0","0","3"
"146210000","6","Iron Impact","","0","0","14621000","14621000","330","341","42","0","3","0","0","130","149","15","140","10000","702400","0","0","0","0","12130000","63","99","0","0","176","0","0","0","0","0","3"
"149101000","23","Hell Breaker","Built only in Halskarem, the city of steel. ","0","0","14551000","14551000","341","41","42","0","3","0","0","131","139","15","160","10000","580958","0","0","0","0","0","40","99","0","0","150","0","0","0","0","0","0"
"150210000","7","Spear","","0","0","15031000","15031000","310","301","51","0","1","0","0","16","129","20","60","4000","6471","0","0","0","0","0","18","99","0","0","86","0","0","0","0","201","1"
"150250000","7","Spike","","0","0","15035000","15035000","310","301","51","0","1","0","0","16","129","20","60","4000","6471","0","0","0","0","0","18","99","0","0","86","0","0","0","0","101","1"
"150410000","7","Cross Spear","","0","0","15041000","15041000","310","301","51","0","1","0","0","23","129","20","60","4000","24808","0","0","0","0","0","26","99","0","0","102","0","0","0","0","201","1"
"150450000","7","Battle Pork","","0","0","15061000","15061000","310","301","51","0","1","0","0","23","129","20","60","4000","24808","0","0","0","0","0","26","99","0","0","102","0","0","0","0","101","1"
"150610000","7","Spetum","","0","0","15081000","15081000","310","301","51","0","1","0","0","30","129","20","65","4000","66968","0","0","0","0","0","34","99","0","0","118","0","0","0","0","201","1"
"150650000","7","Spetum","","0","0","15071000","15071000","310","301","51","0","1","0","0","30","129","20","65","4000","66968","0","0","0","0","0","34","99","0","0","118","0","0","0","0","101","1"
"150710000","7","Long Spear","","0","0","15031000","15031000","310","301","51","0","1","0","0","54","129","20","65","4000","147851","0","0","0","0","0","42","99","0","0","134","1","0","0","0","201","1"
"150810000","7","Pike","","0","0","15041000","15041000","310","301","51","0","1","0","0","60","129","20","65","4000","226468","0","0","0","0","0","47","99","0","0","144","2","0","0","0","0","1"
"150910000","7","Trident","","0","0","15081000","15081000","310","301","51","0","1","0","0","65","129","20","65","4000","309444","0","0","0","0","0","51","99","0","0","152","3","0","0","0","0","2"
"151010000","7","Philum","","0","0","15031000","15031000","310","301","51","0","1","0","0","72","129","20","65","4000","443711","0","0","0","0","0","56","99","0","0","162","4","0","0","0","0","2"
"151110000","7","Harpoon","","0","0","15041000","15041000","310","301","51","0","1","0","0","77","129","20","65","4000","580118","0","0","0","0","0","60","99","0","0","170","5","0","0","0","0","3"
"151210000","7","Totamic Spear","","0","0","15121000","15121000","310","301","51","0","1","0","0","82","129","20","65","7000","746801","0","0","0","0","12070000","64","99","0","0","178","0","0","0","0","0","3"
"155310000","8","Pole Axe","","0","0","15511000","15511000","310","301","52","0","3","0","0","30","164","20","150","8000","6723","0","0","0","0","0","18","99","0","0","95","0","0","0","0","201","1"
"155350000","8","Spear Axe","","0","0","15521000","15521000","310","301","52","0","3","0","0","30","164","20","150","8000","6723","0","0","0","0","0","18","99","0","0","95","0","0","0","0","101","1"
"155510000","8","Battle Scythe","","0","0","15531000","15531000","310","301","52","0","3","0","0","43","164","20","150","8000","25172","0","0","0","0","0","26","99","0","0","115","0","0","0","0","201","1"
"155550000","8","War Scythe","","0","0","15541000","15541000","310","301","52","0","3","0","0","43","164","20","150","8000","25172","0","0","0","0","0","26","99","0","0","115","0","0","0","0","101","1"
"155710000","8","Grim Scythe","","0","0","15551000","15551000","310","301","52","0","3","0","0","56","164","20","150","8000","67444","0","0","0","0","0","34","99","0","0","135","0","0","0","0","201","1"
"155750000","8","Harsh Scythe","","0","0","15561000","15561000","310","301","52","0","3","0","0","56","164","20","150","8000","67444","0","0","0","0","0","34","99","0","0","135","0","0","0","0","101","1"
"155810000","8","Bill","","0","0","15511000","15511000","310","301","52","0","3","0","0","95","164","20","150","8000","148439","0","0","0","0","0","42","99","0","0","155","0","0","0","0","0","1"
"155910000","8","Halberd","","0","0","15531000","15531000","310","301","52","0","3","0","0","107","164","20","150","8000","227126","0","0","0","0","0","47","99","0","0","168","0","0","0","0","0","2"
"156010000","8","Bardish","","0","0","15551000","15551000","310","301","52","0","3","0","0","116","164","20","150","8000","310158","0","0","0","0","0","51","99","0","0","178","0","0","0","0","0","2"
"156110000","8","Glave","","0","0","15511000","15511000","310","301","52","0","3","0","0","127","164","20","150","8000","444495","0","0","0","0","0","56","99","0","0","190","0","0","0","0","0","3"
"156210000","8","Raptor","","0","0","15621000","15621000","310","301","52","0","3","0","0","137","164","20","150","8000","580958","0","0","0","0","12070000","60","99","0","0","200","0","0","0","0","0","3"
"160100000","9","Bow","","0","0","16011000","16011000","0","0","70","0","4","0","2","8","150","350","30","5000","146","0","0","0","0","0","3","99","0","0","0","0","56","0","0","201","1"
"160150000","9","Bow","","0","0","16021000","16021000","0","0","70","0","4","0","2","8","150","350","30","5000","146","0","0","0","0","0","3","99","0","0","0","0","56","0","0","101","1"
"160210000","9","Short Bow","","0","0","16011000","16011000","0","0","70","0","4","0","2","15","150","350","30","5000","349","0","0","0","0","0","7","99","0","0","0","0","64","0","0","201","1"
"160250000","9","Bamboo Bow","","0","0","16021000","16021000","0","0","70","0","4","0","2","15","150","350","30","5000","349","0","0","0","0","0","7","99","0","0","0","0","64","0","0","101","1"
"160410000","9","Rapt Bow","","0","0","16111000","16111000","0","0","70","0","4","0","2","26","150","400","30","5000","1542","0","0","0","0","0","12","99","0","0","0","0","74","0","0","201","1"
"160450000","9","Hunter’s Bow","","0","0","16121000","16121000","0","0","70","0","4","0","2","26","150","400","30","5000","1542","0","0","0","0","0","12","99","0","0","0","0","74","0","0","101","1"
"160610000","9","Composite Bow","","0","0","16211000","16211000","0","0","70","0","4","0","2","42","150","400","35","5000","9460","0","0","0","0","0","20","99","0","0","0","0","90","0","0","201","1"
"160650000","9","Horn Bow","","0","0","16221000","16221000","0","0","70","0","4","0","2","42","150","400","35","5000","9460","0","0","0","0","0","20","99","0","0","0","0","90","0","0","101","1"
"161470000","22","Training Bow","Bow for training rogues","0","0","16211000","16211000","0","0","70","0","4","0","2","38","150","350","30","5000","50","0","0","0","0","0","15","99","0","0","0","0","0","0","0","0","0"
"168110000","9","Crossbow","","0","0","16811000","16811000","0","0","71","0","3","0","2","63","150","400","45","5000","42034","0","0","0","0","0","30","99","0","0","0","0","110","0","0","201","1"
"168150000","9","Crossbow","","0","0","16811000","16811000","0","0","71","0","3","0","2","63","150","400","45","5000","42034","0","0","0","0","0","30","99","0","0","0","0","110","0","0","101","1"
"168210000","9","Horn Crossbow","","0","0","16821000","16821000","0","0","71","0","3","0","2","74","150","400","45","5000","74560","0","0","0","0","0","35","99","0","0","0","0","120","0","0","201","2"
"168250000","9","Horn Crossbow","","0","0","16821000","16821000","0","0","71","0","3","0","2","74","150","400","45","5000","74560","0","0","0","0","0","35","99","0","0","0","0","120","0","0","101","2"
"168310000","9","Iron Crossbow","","0","0","16011000","16011000","0","0","70","0","4","0","2","84","150","400","40","5000","122967","0","0","0","0","0","40","99","0","0","0","0","130","0","0","0","3"
"168410000","9","Iron Bow","","0","0","16841000","16841000","0","0","70","0","4","0","2","93","150","400","40","5000","191899","0","0","0","0","12120000","45","99","0","0","0","0","140","0","0","0","3"
"169010000","9","Centaur bow","Centaur`s bow","1","0","16901000","16811000","0","0","70","0","4","0","0","0","0","0","0","1","24000","0","0","1","0","0","1","99","0","0","0","0","160","0","0","0","0"
"169101000","23","Enion Bow","Said to be made from the hair of Elf Enion. ","0","0","16211000","16211000","0","0","70","0","4","0","2","91","150","400","40","5000","580958","0","0","0","0","0","40","99","0","0","0","0","130","0","0","0","0"
"170110000","12","Small Shield","","0","0","17011000","17011000","0","0","60","0","2","0","0","0","100","20","50","5000","415","0","42","0","0","0","4","99","0","0","57","0","0","0","0","201","1"
"170150000","12","Wooden Shield","","0","0","17015000","17015000","0","0","60","0","2","0","0","0","100","20","50","5000","415","0","42","0","0","0","4","99","0","0","57","0","0","0","0","101","1"
"170210000","12","Large Shield","","0","0","17021000","17021000","0","0","60","0","2","0","0","0","100","20","70","6000","2256","0","66","0","0","0","12","99","0","0","71","0","0","0","0","201","1"
"170250000","12","Round Shield","","0","0","17025000","17025000","0","0","60","0","2","0","0","0","100","20","70","6000","2256","0","66","0","0","0","12","99","0","0","71","0","0","0","0","101","1"
"170310000","12","Kite Shield","","0","0","17031000","17031000","0","0","60","0","2","0","0","0","100","20","100","7000","10650","0","92","0","0","0","20","99","0","0","86","0","0","0","0","201","1"
"170350000","12","Octagon Shield","","0","0","17041000","17041000","0","0","60","0","2","0","0","0","100","20","100","7000","10650","0","92","0","0","0","20","99","0","0","86","0","0","0","0","101","1"
