"1 - UInt32","2 - Int32","3 - Int32","4 - Int32","5 - Int32","6 - Int32","7 - Int32","8 - Int32","9 - Int32","10 - Int32","11 - Int32","12 - Int32"
"111620","1","100","150","100","0","1","0","0","113","113","0"
"111641","1","100","150","100","0","1","0","0","113","113","0"
"111650","1","100","200","100","0","1","0","0","113","113","0"
"111712","1","100","120","100","0","1","0","0","113","113","0"
"111721","1","100","150","100","0","1","0","0","113","113","0"
"111739","1","100","150","100","0","1","0","0","113","113","0"
"111750","1","100","200","100","0","1","0","0","113","113","0"
"112511","1","100","120","100","0","1","0","0","113","113","0"
"112520","1","100","150","100","0","1","0","0","113","113","0"
"112542","1","100","150","100","0","1","0","0","113","113","0"
"112551","1","100","200","100","0","1","0","0","113","113","0"
"112611","1","100","120","100","0","1","0","0","113","113","0"
"112620","1","100","150","100","0","1","0","0","113","113","0"
"112641","1","100","150","100","0","1","0","0","113","113","0"
"112650","1","100","200","100","0","1","0","0","113","113","0"
"112712","1","100","120","100","0","1","0","0","113","113","0"
"112721","1","100","150","100","0","1","0","0","113","113","0"
"112739","1","100","150","100","0","1","0","0","113","113","0"
"112750","1","100","200","100","0","1","0","0","113","113","0"
"112802","1","100","200","100","0","1","0","0","114","114","0"
"201003","0","100","120","100","0","1","0","0","128","128","0"
"201005","0","150","100","100","0","1","0","0","126","126","0"
"201009","0","200","100","100","0","1","0","0","114","114","0"
"202005","0","100","150","100","0","1","0","0","114","114","0"
"205003","0","100","120","100","0","1","0","0","128","128","0"
"205005","0","150","100","100","0","1","0","0","126","126","0"
"205009","0","200","100","100","0","1","0","0","114","114","0"
"205500","0","100","100","100","0","1","0","0","118","129","0"
"205505","0","100","150","100","0","1","0","0","131","113","0"
"205510","0","100","100","100","0","1","0","0","114","121","0"
"205515","1","100","100","100","0","1","0","0","128","132","0"
"205520","0","100","100","100","0","1","0","0","126","135","0"
"205525","0","100","200","100","0","1","0","0","114","129","0"
"205530","0","100","100","100","0","1","0","0","129","135","0"
"205535","1","100","150","100","0","1","0","0","113","118","0"
"205540","0","100","150","100","0","1","0","0","121","126","0"
"205545","0","100","250","100","0","1","0","0","114","126","0"
"205550","0","100","100","100","0","1","0","0","118","128","0"
"205555","1","100","200","100","0","1","0","0","129","118","0"
"205560","1","100","250","100","0","1","0","0","113","135","0"
"206003","0","100","120","100","0","1","0","0","128","128","0"
"206005","0","150","100","100","0","1","0","0","126","126","0"
"206009","0","200","100","100","0","1","0","0","114","114","0"
"206500","0","100","100","100","0","1","0","0","118","129","0"
"206505","0","100","150","100","0","1","0","0","131","113","0"
"206510","0","100","100","100","0","1","0","0","114","121","0"
"206515","1","100","100","100","0","1","0","0","128","132","0"
"206520","0","100","100","100","0","1","0","0","126","135","0"
"206525","0","100","200","100","0","1","0","0","114","129","0"
"206530","0","100","100","100","0","1","0","0","129","135","0"
"206535","1","100","150","100","0","1","0","0","113","118","0"
"206540","0","100","150","100","0","1","0","0","121","126","0"
"206545","0","100","250","100","0","1","0","0","114","126","0"
"206550","0","100","100","100","0","1","0","0","118","128","0"
"206555","1","100","200","100","0","1","0","0","129","118","0"
"206560","1","100","250","100","0","1","0","0","113","135","0"
"206570","1","100","300","100","0","1","0","0","113","135","0"
"206802","1","100","250","100","0","1","0","0","114","114","0"
"206805","0","100","130","100","0","1","0","0","114","114","0"
"207005","0","100","150","100","0","1","0","0","114","114","0"
"207600","0","100","100","100","0","1","0","0","128","128","0"
"207615","0","100","200","100","0","1","0","0","126","126","0"
"207620","0","100","100","100","0","1","0","0","118","118","0"
"207635","0","100","400","100","0","1","0","0","131","131","0"
"207640","0","100","100","100","0","1","0","0","114","114","0"
"207655","0","100","600","100","0","1","0","0","129","129","0"
"208005","0","100","150","100","0","1","0","0","114","114","0"
"208600","2","100","100","100","0","1","0","0","128","128","0"
"208615","0","100","200","100","0","1","0","0","126","126","0"
"208620","2","100","100","100","0","1","0","0","118","118","0"
"208635","0","100","400","100","0","1","0","0","131","131","0"
"208640","2","100","100","100","0","1","0","0","114","114","0"
"208655","0","100","600","100","0","1","0","0","129","129","0"
"208670","2","100","100","100","0","1","0","0","114","114","0"
"209542","0","100","100","100","0","1","0","0","128","128","0"
"209642","0","100","100","100","0","1","0","0","128","128","0"
"209742","0","100","100","100","0","1","0","0","128","128","0"
"210542","0","100","100","100","0","1","0","0","128","128","0"
"210642","0","100","100","100","0","1","0","0","128","128","0"
"210742","0","100","100","100","0","1","0","0","128","128","0"
"211511","1","100","120","100","0","1","0","0","113","113","0"
"211520","1","100","150","100","0","1","0","0","113","113","0"
"211542","1","100","150","100","0","1","0","0","113","113","0"
"211551","1","100","200","100","0","1","0","0","113","113","0"
"211611","1","100","120","100","0","1","0","0","113","113","0"
"211620","1","100","150","100","0","1","0","0","113","113","0"
"211641","1","100","150","100","0","1","0","0","113","113","0"
"211650","1","100","200","100","0","1","0","0","113","113","0"
"211712","1","100","120","100","0","1","0","0","113","113","0"
"211721","1","100","150","100","0","1","0","0","113","113","0"
"211739","1","100","150","100","0","1","0","0","113","113","0"
"211750","1","100","200","100","0","1","0","0","113","113","0"
"212511","1","100","120","100","0","1","0","0","113","113","0"
"212520","1","100","150","100","0","1","0","0","113","113","0"
"212542","1","100","150","100","0","1","0","0","113","113","0"
"212551","1","100","200","100","0","1","0","0","113","113","0"
"212611","1","100","120","100","0","1","0","0","113","113","0"
"212620","1","100","150","100","0","1","0","0","113","113","0"
"212641","1","100","150","100","0","1","0","0","113","113","0"
"212650","1","100","200","100","0","1","0","0","113","113","0"
"212712","1","100","120","100","0","1","0","0","113","113","0"
"212721","1","100","150","100","0","1","0","0","113","113","0"
"212739","1","100","150","100","0","1","0","0","113","113","0"
"212750","1","100","200","100","0","1","0","0","113","113","0"
"212802","1","100","200","100","0","1","0","0","114","114","0"
