"cp=1252",""
"1103","Please deliver the Dark Lunar secret scroll to the Advisor. "
"1105","Please visit the Advisor inside Luferson Castle first. "
"1106","Please visit the Advisor inside El Morad Castle first. "
"1203","Please deliver the Lunar secret scroll to the advisor."
"2001","You want the blessings of God?  Then do me a favor. If you do, then the God of Evolution, the Logos will bless your armor.. "
"2002","Hey wimp.. Go visit  Limon..  Limon will judge if you are qualified to be blessed by the God or not.. "
"2003","Oh~~ The Armor of Destruction.. Hmm.. It's a very rare and valuable item.. The Armor of Destruction will destroy its owner if the owner does not have enough faith in it.. It's a very valuable item and it's cursed by Patos.. "
"2004","In order to disable the curse, you need to receive a blessing from the Logos to change it to Talia Skin.. Do you want to do this?  I bet you do.. However.. I'm going to have to receive something in return for my blessing.. "
"2005","Lately, the guys in the 'Valley of the Lost Souls' are acting suspiciously. Their evilness must be supressed. In order to do this, I need a Bone of Dragon Tooth and the Blood of Dark Mage. "
"2006","If you bring these to me, I'll give you the blessings of Logos. Also, have 100,000 coins for offering when you are blessed. Becareful.. Watch out for the shadows of death.. "
"2007","Hmm, The Shadow of Death is hanging over you. Someday the Armor of Destruction will lead you to hell!! Hahaha.. "
"2008","You're back!! Talia Skin Helmet is yours. May the blessing of Logos be with you.. "
"2009","You must have great faith. You deserve to become the owner of Talia Skin..  May the blessing of Logos be with you.. "
"2010","You're now a owner of  the Talia Skin Armor. May the blessing of Logos be with you.."
"2011","Here's the Talia Skin Gauntlet. Try it on. I bet you're not going to want to take it off..  May the blessing of Logos be with you.. "
"2012","The Talia Skin Boots will protect you.. May the blessing of Logos be with you.. "
"2013","Here's the Talia Skin Belt.. It strikes me everytime, doesn't it look great!? May the blessing of Logos be with you. "
"2014","Which one do you want? "
"2015","10 Bones of Dragon Tooth, 20 Blood of Dark Mage, and 100,000 coins"
"2016","You're greedy!! Don't you already have this?? "
"2017","This is not enough.. Too bad.. "
"3001","Hello. ^^  Please enter the coupon number. "
"3002","The coupon number is invalid.  Please start over. "
"3003","Received 10,000 Coins.  Use them wisely~! ^^"
"3004","Wow~!!  A sword with extra powers~!!  You're lucky~!!"
"3005","Wow~!!  A bow with extra powers~!!  You're lucky~!!"
"3006","Wow~!!  A staff with extra powers~!!  You're lucky~!!"
"3007","Wow~!!  An iron hammer with extra powers~!!  You're lucky~!!"
"4001","Will you use your Gift Card? "
"4002","Have a good time. "
"4003","Please enter the Gift Card serial number below. "
"4004","Card number and/or Password error.  Please try again. "
"4005","Please take this mysterious present, brave one. "
"4006","Please take this 50,000 gold, brave one. Please use them wisely. "
"4007","Please double check your card number. If you already used it before, you cannot use it again. "
"4008","Do you want to get a present? "
"4009","You have no empty slot."
"5001","The emperor has sent a reward to your bravery and heroic efforts in the war. "
"6000","I'm the Warrior Master Skaky!! Do you want to learn your Master skills? "
"6001","I'm the Warrior Master Skaky!! I'm responsible for training warriors. You need to be level 60 in order to learn the Master skill. "
"6002","The war with Patos, the God of Destruction, has ended. However, our world is still in a chaos. Our decision to stay out of the war between the Gods and the humans were wrong.  ||The wolves that drank the blood of Patos stood upright and have turned into his loyal soldier. Their fear is gone along with Patos.. It seems like they are going to cause more trouble than before. ||My brave warrior! Prove your bravery to me! Hunt these wolves... the Lobo, Lupu, and Lycaon. Hunt them down and bringn me [a Lobo Pendant, a Lupus Pendant, a Lycaon Pendant, 10 Crystals, 10 Opals, and 10 Crude Sapphires]. "
"6003","You cannot become a warrior if you can't prove your bravery. "
"6004","Did you bring the proof to become a Master? Then show it to me!"
"6005","Warrior, you kept your word! Warrior Master Skaky will pass you the ancient power of the dragon."
"6006","Warrior, you already have the power of Master."
"6007","Warrior, you have to show me a solid proof."
"6011","The warrior's bravery and sacrifice is what's keeping this world in order. Warrior, show us your bravery!!"
"7000","My name is Clarence, the representative of Rogue Guild and the Guardian of Secrets. Do you want to qualify to become a master? "
"7001","I, Clarence, as the Representative of Rogue Guild, am telling the secrets of the seniors to the rogues. from the senior people to rogues. Only the rogues with level 60 or above are allowed to become Kasar Hood or Shadow Vein. "
"7002","The seniors of Rogue Guild want the following items to develop ancient weapons and assassination skills;|[a Shaula Tail, a Lesath Tail, Blood of Glyptodont(10 pcs.), a Fang of Barkirra, Crystal(10 pcs.), Opal(10 pcs.), Crude Sapphire(10 pcs.)] | The seniors will allow you to have great powers if you fetch these things for them."
"7003","Please come see me if you want to find out more about the seniors' secrets."
"7004","Did you bring the materials I asked for? "
"7005","You brought everything the seniors requested. The seniors will allow you to have great powers."
"7006","Rogues should keep the seniors' secrets. Don't forget about keeping the secret!"
"7007","You're not ready yet. You do not have all the things that I require. "
"7011","In that case, I'll refer to the seniors about your specialty. "
"7050","Welcome to Moradon, the city of peace and trade! | I'm Proconsul, the master of blacksmith guild. I'm the head of all the blacksmiths!! We can make items that would be very tempting for warriors like you. || So, tell me. What're you looking for?"
"7105","Did you hear about the rumor that the Goblins lived in the deserted land had build their own village in both El Morad and Karus? "
"7110","To tell you the truth, we blacksmiths do not care about Goblins. However, we are interested in the armors that they are wearing."
"7120","Although the Goblins have poor skills in making armors, the quality of the materials they use are very nice. If we can just put a little finishing touch to it, I'm confident that it'll become a great armor!"
"7130","If you bring the Goblin Armor, I'll have our guild members repair it. If you don't have a nice armor yet, this should be a good chance for you to get one. Of course, nothing is free…, just a little material cost and a service fee, as you know, we need to make a living too. "
"7140","You can ask anybody in the square over there where you'll be able to meet Goblins. If you are lucky, maybe some kind person will help you. Well then, Take care!"
"7145","One thing to note is that for someone big like you will need [5 pcs. Of Goblin Armor]!! Think about Goblin's small size!"
"7150","You brought the Goblin Armor? Good, then I'll make an armor for you. I need 5 pcs. Of Goblin Armor to make one that would fit you. What kind of Armor did you get? Oh, one more thing.. You also need to pay the fee below in order to make the armor. || 100 thousand coin for Goblin Pauldron | 80 thousand coin for Goblin Pads | 50 thousand coin for Goblin Helmet | 40 thousand for Goblin Gauntlet | 30 thousand coin for Goblin Boots"
"7160","You should have at least 5 pcs. Of Goblin Armor to make one for yourself. Compare the size of your body with the Goblin's!"
"7170","Hmm... You don't have enough money. Sorry to say this but we won't be making any money if we charge you the just the material cost. "
"7190","Oh, you've really been to the Goblin village! You're much braver than I expected!"
"7200","As I told you before, we can make magic armors out of Goblin's armors. | But don't let the outer form fool you, the result may vary. | Some may become great armors, but in some cases, some may become some what less of a great armor.  "
"7210","I cannot tell what kind of armor will be produced. Well, what do you say? Do you want me to make one for you?"
"7220","Hmm.. In order to make a Goblin Pauldron.. Including material cost, service fees, and etc.. It'll cost you 100,000 coins. "
"7230","Hmm.. In order to make a Goblin Pad.. Including material cost, service fees, and etc.. It'll cost you 80,000 coins. "
"7240","Hmm.. In order to make a Goblin Helmet.. Including material cost, service fees, and etc.. It'll cost you 50,000 coins. "
"7250","Hmm.. In order to make a Goblin Gauntlet.. Including material cost, service fees, and etc.. It'll cost you 40,000 coins. "
"7260","Hmm.. In order to make a Goblin Boots.. Including material cost, service fees, and etc.. It'll cost you 30,000 coins. "
"7280","I guess you're not interested in Goblin Armors. Well then, farewell and come back again if you ever need our help. "
"7310","Oh boy.. This armor is a failure. I'm sorry.. Well it's not that bad, it'll still be useful, so please don't too disappointed. "
"7320","We can make this kind of armors out of most Goblin Armors. If you want a better one, please get more Goblin Armors. If you're lucky you might end up with a great armor. "
"7330","You must be a lucky guy to get such a great armor out of Goblin armor."
"7340","Oh, wow! You're very lucky!! An armor of this caliber will stand out wherever you go. "
"7350","Oh, my goodness! It's almost impossible to make such an awsome armor out of Goblin Armors…, you're really lucky. "
"7551","Do you want to know about Armor of Destruction? Or did you bring back the materials? "
"7553","Such adventurers like you might dream of becoming more stronger than others. Well then, do you have any idea what we're dreaming about? We want to make a sword with the sharpest blade and make solid armors that nothing can thrust through!! || With these goals, we don't stop feeding the fire, blowing with the bellows and striking irons, just like you, constantly trying to make yourself stronger. || While warriors would sell their souls to become stronger, we had made a deal with he magicians in order to make better items l "
"7554","Based on what we learned from the sorcerers, we poured magic forces from [Talisman of Destruction] into the burning furnace to make a new kind of metal. || When this new creation was made from the furnace, we shouted with joy. But soon, we were facing a problem. The metal was too hard and we couldn't change its shape with our hammers and anvil. In other words, it was impossible to make an armor out of this net metal. So we had no choice but to be satisfied by placing the sheet metals on a leather armor. This armor that we created is called the Armor of Destruction. "
"7555","And then we faced another problem. We were unable to fix the metal if it was broken. haha.. Although it's very strong, the Armor of Destruction doesn't last long. What do you think? The name suits the armor, right? || As I told you before, the Armor of Destruction requires [Scroll of Destruction] in order to be made. There are monsters called Hell Hounds in the El Morad and Karus. They originated from dead Smilodons that were brought back alive by eveil necromancers. When you kill them, you'll be able to get the [Talisman of Destruction]. "
"7556","Oh, one more thing!! After Brin Mine closed down, the [Iron Bars] are not sold in the market anymore. I'd like you to get some for me. The easiest way for an adventurer to obtain [Iron Bar] is to hunt Bulcans. They dig and feed on earth. They excrete the earth but the iron that was in the earth are stored in their body. "
"7557","Do you want more information? Okay then, listen up!! The service fee is flat, 500 thousand coins!! This includes the price for the leather armor and the service fee. Trust me, it's worth it!! |||Pauldron of Destruction : 7 pcs. of Talisman & 15 pcs. of Iron Bars | Pad of Destruction : 5 pcs. of Talisman & 12 pcs. of Iron Bars | Helmet of Destruction : 4 pcs. of Talisman & 9 pcs. of Iron Bars |Gauntlet of Destruction : 3 pcs. of Talisman & 6 pcs. of  Iron Bars | Boots of Destruction : 3 pcs. of Talisman & 3 pcs. of Iron Bars"
"7558","You brought the [Scroll of Destruction] and [Second Upgrade Protector]? And you didn't forget to bring 500,000 coins, right? Okay, tell me what kind of armor you want. "
"7566","Hey, you don't have enough coins!! Pauldron of Destruction requires 500 thousand coins. We need to make some profits in order to make better armors!! Some people think that we are thieves for charging such fees, but it costs us a lot to buy the materials for making an armor. I'll give you a discount when my business becomes more successful. "
"7571","To make an Armor of Destruction, we need [Iron Bar]. Do you understand? You can easily get [Iron Bar] from Bulcans. It's tough for a blacksmith like me to hunt Bulcans, but I'm confident that you'll be able to hunt them easily. |||Pauldron of Destruction : 15 pcs. of Iron Bar | Pad of Destruction : 12 pcs. | Helmet of Destruction : 9 pcs. | Gauntlet of Destruction : 3 pcs. of Talisman & 6 pcs. of Iron Bars | Boots of Destruction : 3 pcs. of Talisman and 3 pcs. of Iron Bar"
"7576","Hey!! You do not have enough scrolls. For a Pauldron of Destruction, [7 pcs. Of Scroll of Destruction] is need!!"
"7577","Hey!! You do not have enough scrolls. For a Pad of Destruction, [5 pcs. Of Scroll of Destruction] is need!!"
"7578","Hey!! You do not have enough scrolls. For a Helmet of Destruction, [4 pcs. Of Scroll of Destruction] is need!!"
"7579","Hey!! You do not have enough scrolls. For a Gauntlet of Destruction, [3 pcs. Of Scroll of Destruction] is need!!"
"7580","Hey!! You do not have enough scrolls. For a Boots of Destruction, [3 pcs. Of Scroll of Destruction] is need!!"
"7591","Behold! The Armor of Destruction! Please note that the Armor of Destruction cannot be repaired!! After using it, you'll have to sell them for scrap metal. So, don't come back later asking for a refund!!"
"7621","Oh~ Are you interested in Talia Skins?  Do you want to know what a Talia Skin is? Or did you bring the materials as promised? "
"7623","Let me tell you about the Talia Skin.  First of all, you should know what the Armor of Destruction is. Armor of Destruction is more stronger than anything else in the world!!  But it's really hard to maintain. You can't add magic powers or repair them. However, we found a way to insert a new kind of power within in these armors. We can use the Talisman of Talia and the Crystals that the Giants are carrying. "
"7624","The Talisman of Talia is a rare magical material you can get from the Giants.  Unlike us, the Giants cannot make such fine armors like us. They are strong enough to lift large bolders and throw them, but they are helpless against our swords and magic. In order to solve this problem, instead of making armors, they started creating talismans which had magical powers to make their skins to become hard as rocks. This talisman is the Talisman of Talia. "
"7625","The Giants depend on these Talisman of Talia to protect their skin from fire, ice, sharp swords, and arrows!! || But not all the Giants have Talisman of Talia. Most of the Giants lost their intelligence and are often going around plundering everything that's in their way. However, some of the Giants have recovered their intelligence and has set up an army in anticipation of conquering our land. The Giants that has recovered its intelligence carries Talisman of Talia. We call them Talia Skin, the leather of the Giants.  "
"7626","And you should know one more thing!! ||First, Talia Skin does not have any defensive powers. When you apply the Talisman of Tali to the Armor of Destruction, the defensive powers of the armor will disappear. || Second, there are 9 kinds of talia skins which protects you from a certain weapon or a certain magic. Also, the blacksmiths cannot tell what kind of talia skin will be made. They can only find out when they have a finished product. || Don't forget what I just told you. "
"7627","I'll tell you once more!! If you want to get a Talia Skin, bring the items described in the list! || Pauldron of Destruction || 5 Talia Scrolls || 1 Crystal || 500,000 coins. "
"7631","Hey!! You're going to need 5 Talia Scrolls in order to make a Talia Skin!! You can get the Talia Scroll from the Giants that live in El Morad and Karus. "
"7632","Hey!! You need to pay 500,000 coins in order to make a Talia Skin. We have to make a living too!! Hehe.. "
"7633","Hey!! You need to bring a Crystal in order to make a Talia Skin. There should be people selling Crystals in the nearby market. "
"7635","There are Talia Skins for warriors, rogues, magicians, and priest. What kind do you want? "
"7642","In order to make a warrior's Talia Skin, we need a warrior's Pauldron of Destruction!! It's OK if the armor has low durability. Go get one now!"
"7652","In order to make a rogue's Talia Skin, we need a rogue's Pauldron of Destruction!! It's OK if the armor has low durability. Go get one now!"
"7662","In order to make a magician's Talia Skin, we need a magician's Pauldron of Destruction!! It's OK if the armor has low durability. Go get one now!"
"7672","In order to make a priest's Talia Skin, we need a priest's Pauldron of Destruction!! It's OK if the armor has low durability. Go get one now!"
"7681","This Talia Skin has a Flame Resistance ability!! It doesn't have any other defensive or resistance ability but when you are facing a flame magician, this armor will be very useful!!"
"7682","This Talia Skin has a Glacier Resistance ability!! It doesn't have any other defensive or resistance ability but when you are facing a glacier magician, this armor will be very useful!!"
"7683","This Talia Skin has a Lightning Resistance ability!! It doesn't have any other defensive or resistance ability but when you are facing a lightning magician, this armor will be very useful!!"
"7684","This Talia Skin has a Flame Resistance ability!! It doesn't have any other defensive or resistance ability but when you are facing a flame magician, this armor will be very useful!!"
"7685","This Talia Skin has a defensive ability against daggers!! It doesn't have any other defensive or resistance ability but when you are facing an assassin, this armor will be very useful!!"
"7686","This Talia Skin has a defensive ability against swords!! It doesn't have any other defensive or resistance ability but when you are facing a warriors with a sword, this armor will be very useful!!"
"7687","This Talia Skin has a defensive ability against axe!! It doesn't have any other defensive or resistance ability but when you are facing a warrior with an axe, this armor will be very useful!!"
"7688","This Talia Skin has a defensive ability against maces!! It doesn't have any other defensive or resistance ability but when you are facing a warrior or a priest using a mace, this armor will be very useful!!"
"7689","This Talia Skin has a defensive ability against spears!! It doesn't have any other defensive or resistance ability but when you are facing a warrior with a spear or a scythe, this armor will be very useful!!"
"7701","I promised Captain Kunabarl, that I wouldn't make Silan Armors for people that has not trained well!! The captain hates people that doesn't train hard.  Come back when you have reached level 15!!  I'll make you a great looking armor then. "
"7702","Silan Amor is ideal for adventurers with level between 15 and 30.  The physical defense ability isn't very good but it has a special magic power which increases your health and mental power.  How about it?  Do you want a Silan Armor? "
"7703","Silans are an evolved form of Bulcans!! Like the Bulcans, they feed on metals that are present in the dirt! Unlike the regular Bulcans, when they die, the bones will still remain alive like the Undyings that wander around out of their graves. "
"7704","When you are smelting metal in a furnace, you can add Silan's bones in it to add life to the metal.  The Armor you make from this kind of metal is the Silan's Armor!!  It's not much of use for the ones that are very strong, but if you are one of the weaker adventurers setting off for Karus and El Morad, then this is a must-have item!"
"7705","And you should know one more thing!! ||First, Talia Skin does not have any defensive powers. When you apply the Talisman of Tali to the Armor of Destruction, the defensive powers of the armor will disappear. || Second, there are 9 kinds of talia skins which protects you from a certain weapon or a certain magic. Also, the blacksmiths cannot tell what kind of talia skin will be made. They can only find out when they have a finsihed product. || Don't forget what I just told you. "
"7706","You don't have enough materials!! You need to bring [5 Iron Bars] in order to make a Silan Armor."
"7707","You don't have enough Coins!! You need to bring [50,000 Coins] in order to make a Silan Armor."
"7708","You don't have enough materials!! You need to bring [5 Silan Bones] in order to make a Silan Armor. "
"7751","Haha!! You got the Silan Pauldron!!  Good luck and come back if you need anything!"
"7752","Haha!! You got the Silan Pads!!  Good luck and come back if you need anything!"
"7753","Haha!! You got the Silan Helmet!!  Good luck and come back if you need anything!"
"7754","Haha!! You got the Silan Gauntlet!!  Good luck and come back if you need anything!"
"7755","Haha!! You got the Silan Boots!!  Good luck and come back if you need anything!"
"7821","The blacksmiths and vendors of Moradon are offering a lot of presents for a beginner like you. With the increased number of fighters fighting monsters, Moradon becomes more safer and the vendors will make more money. You could look at it as a sort of an investment. The beginner's armor is a good example. What do you say? Do you want to find out more? "
"7823","As I told you before Cartel is investing a huge sum of money to invest in beginners. Believe it or not he's still making money off of it though. "
"7824","The beginner's armor upgrade mission is for upgrading the quality of your first armor. If you can't get help from rich friends, then this mission should be very vital mission for you. "
"7825","I'll tell you what you do. While you're hunting monsters around Moradon, you'll pick up some items called [Cursed Upgrade Scroll]. Bring me that and the cheapest armor the vendors are selling!! I'll modify it to a relatively nice armor!"
"7826","Also, Cartel only helps in the way of providing a furnace and the equipments. You're going to have to come up with the service fee of 1,000 coins for the blacksmiths. "
"7827","I'll tell you again!! If you want to get a relatively useful armor, bring me the items in the list!!||Cheap upgrade armor||Cursed Upgrade Scroll||1,000 coins. "
"7832","Hey!! You need 1,000 coins as a service fee for the blacksmith. "
"7833","Hey!! You need to bring me a Cursed Upgrade Scroll. Fight some monsters in Moradon. You should be able to get them!!"
"7840","Okay.. Which part of armor do you want? One thing you must remember is that I cannot tell what kind of magic option this armor will have!!"
"7850","Okay.. Which part of armor do you want? One thing you must remember is that I cannot tell what kind of magic option this armor will have!!"
"7860","Okay.. Which part of armor do you want? One thing you must remember is that I cannot tell what kind of magic option this armor will have!!"
